datetime,sec_code,open,high,low,close,volume,openinterest
2019-01-02,603338.SH,199.37668608,204.6159882,198.31466538,201.53612817,1196480,0
2019-01-02,000600.SZ,34.06908533,35.00615251,33.86828522,34.20295207,8867647,0
2019-01-02,002041.SZ,72.73904176,73.81865648,72.46913808,72.73904176,2105939,0
2019-01-02,000999.SZ,49.39384964,49.51234748,47.6953806,48.34711872,1756955,0
2019-01-02,600779.SH,202.9789551,206.5500583,195.5816699,196.9846033,3673768,0
2019-01-02,002407.SZ,60.83692461,62.16066549,60.78176874,61.16785983,7892191,0
2019-01-02,600881.SH,155.75849388,157.16595015,153.88188552,154.35103761,4800145,0
2019-01-02,600511.SH,125.01126542,126.19365916,117.91690298,119.8517291,3184019,0
2019-01-02,300002.SZ,50.93691145,51.55246325,50.62913555,50.93691145,6500486,0
2019-01-02,002302.SZ,36.05803129,36.34259298,35.7734696,35.93607628,11847754,0
2019-01-02,000727.SZ,8.3393116,8.3393116,8.2266182,8.2266182,8914250,0
2019-01-02,002368.SZ,89.5706518,93.581278,89.11229452,92.09161684,6420326,0
2019-01-02,000739.SZ,89.90608887,90.2671575,88.70252677,89.18395161,1723803,0
2019-01-02,000158.SZ,15.5562495,15.6743235,15.0249165,15.290583,7970603,0
2019-01-02,300134.SZ,40.97488123,42.35946011,39.3739619,41.84024303,23768369,0
2019-01-02,002642.SZ,29.96544915,30.3822792,29.8265058,29.9191347,4484380,0
2019-01-02,600528.SH,45.89357584,46.06874216,44.18570422,44.79878634,10612578,0
2019-01-02,002152.SZ,90.06483635,90.06483635,88.78958203,89.10839561,5483838,0
2019-01-02,601098.SH,14.5730922,14.88736815,14.3635749,14.4799734,3709089,0
2019-01-02,600521.SH,183.127578,184.1174568,169.7642142,172.5688708,16934901,0
2019-01-02,603868.SH,41.209227,41.209227,39.09429,39.564276,540081,0
2019-01-02,300010.SZ,37.65586308,38.1226713,36.8259818,36.8259818,12747675,0
2019-01-02,002128.SZ,18.38511041,18.38511041,18.00155456,18.05269534,5378233,0
2019-01-02,300072.SZ,201.4567113,201.6587742,196.8092646,198.8298936,7435783,0
2019-01-02,600623.SH,222.2082667,222.2082667,217.02795128,217.84589582,4111400,0
2019-01-02,600763.SH,113.79894656,114.45102032,107.51971776,111.04574624,3389988,0
2019-01-02,002408.SZ,40.7726635,42.9407815,40.230634,42.2180755,46555567,0
2019-01-02,600917.SH,7.51221232,7.52276318,7.41725458,7.44890716,929400,0
2019-01-02,601958.SH,7.86235573,7.90213156,7.80932129,7.84909712,3907787,0
2019-01-02,600640.SH,82.821164,87.7820256,81.3917632,85.5118008,7965412,0
2019-01-02,600863.SH,39.4648588,39.97518025,39.29475165,39.8050731,16205913,0
2019-01-02,300285.SZ,136.5718485,137.47142355,129.5388072,130.3566027,3690950,0
2019-01-02,600848.SH,45.89434332,47.17857384,45.89434332,46.57025412,3537894,0
2019-01-02,600970.SH,65.99923733,66.11901816,64.92120986,65.16077152,6094822,0
2019-01-02,002266.SZ,44.8258986,45.04456152,44.49790422,44.49790422,4226917,0
2019-01-02,600216.SH,49.55046572,49.6646373,47.83789202,47.89497781,10426262,0
2019-01-02,600996.SH,6.53240052,6.69673764,6.39887661,6.63511122,5538497,0
2019-01-02,000060.SZ,144.291708,145.7492,143.198589,143.198589,7700348,0
2019-01-02,300347.SZ,355.20963836,355.20963836,321.2002049,322.0216888,6756216,0
2019-01-02,603568.SH,35.1038376,35.7196944,34.93447698,35.2578018,1245798,0
2019-01-02,000738.SZ,21.65856546,21.94472322,21.35452284,21.69433518,3425884,0
2019-01-02,000009.SZ,32.033052,32.4748872,31.3702992,31.664856,10189201,0
2019-01-02,600006.SH,12.98701956,12.98701956,12.70315028,12.73863394,2510100,0
2019-01-02,002038.SZ,350.3431878,352.58090876,345.4481732,350.3431878,4306672,0
2019-01-02,600673.SH,97.87902334,98.69355058,95.84270524,97.47175972,8821160,0
2019-01-02,600765.SH,67.10937816,68.27571762,66.75050448,67.91684394,4796975,0
2019-01-02,600565.SH,28.37045727,28.69655448,28.04436006,28.15305913,6405288,0
2019-01-02,600160.SH,69.10649088,69.20932792,67.56393528,67.97528344,6928752,0
2019-01-02,600717.SH,125.15560227,126.03574012,124.80354713,125.33162984,2694513,0
2019-01-02,002831.SZ,40.32083592,42.09519744,40.32083592,41.57512596,590057,0
2019-01-02,002110.SZ,14.99278488,14.99278488,14.52499128,14.53668612,13448347,0
2019-01-02,002002.SZ,30.48270336,31.11775968,30.48270336,30.90607424,13052498,0
2019-01-02,600416.SH,17.61926208,18.23627904,17.61926208,17.75637696,5128962,0
2019-01-02,002092.SZ,23.4373414,23.47035174,23.17325868,23.17325868,8974966,0
2019-01-02,002281.SZ,86.19056068,87.38317502,85.70706838,86.12609504,10356217,0
2019-01-02,600143.SH,92.8126395,93.38088015,91.10791755,91.6761582,12777270,0
2019-01-02,601068.SH,5.23,5.29,5.17,5.23,12499254,0
2019-01-02,600869.SH,51.0941636,51.5208372,50.134148,50.2408164,6859100,0
2019-01-02,600594.SH,83.00842416,83.60993448,81.9557811,82.10615868,3755399,0
2019-01-02,603737.SH,48.16314684,48.16314684,46.86502022,47.10345164,187512,0
2019-01-02,002195.SZ,83.8620725,84.315381,83.18210975,83.63541825,30156563,0
2019-01-02,002745.SZ,23.09657956,24.3067911,23.09657956,24.28627904,11891280,0
2019-01-02,600037.SH,44.4619828,45.13408254,44.35858284,44.7204827,3046231,0
2019-01-02,000990.SZ,36.695556,36.81787452,36.23686155,36.45091896,1538574,0
2019-01-02,600026.SH,7.55298135,7.5698784,7.3671138,7.434702,5701109,0
2019-01-02,603877.SH,19.4763816,19.9549679,18.8729467,18.88335075,971742,0
2019-01-02,600556.SH,31.2283648,31.86269096,29.81332952,30.59403864,12235732,0
2019-01-02,601106.SH,2.69043618,2.70051272,2.68035964,2.69043618,4232625,0
2019-01-02,603939.SH,86.71491158,87.6135117,81.03739264,82.26275644,2584053,0
2019-01-02,300595.SZ,126.31142134,126.44184098,122.2684125,122.5944616,1226646,0
2019-01-02,601611.SH,6.67174895,6.73249325,6.6008806,6.63125275,2803672,0
2019-01-02,000813.SZ,34.68900593,34.80224534,34.31154123,34.7267524,2127332,0
2019-01-02,603659.SH,48.268944,48.268944,45.70465635,46.42869051,1231902,0
2019-01-02,601869.SH,40.38132894,41.40453873,40.1179284,40.60420632,6023960,0
2019-01-02,000061.SZ,103.18084,104.031816,99.351448,99.351448,6491983,0
2019-01-02,300146.SZ,459.051272,467.69223712,450.9503672,453.92069896,11193979,0
2019-01-02,603883.SH,48.48099865,48.6962875,46.24609535,46.61516195,1721223,0
2019-01-02,300058.SZ,81.95486565,83.83888555,81.76646366,81.95486565,6619289,0
2019-01-02,600536.SH,110.78407512,112.6886724,106.3400148,111.3660354,18272641,0
2019-01-02,600959.SH,5.47427232,5.52716384,5.40815792,5.51394096,7012373,0
2019-01-02,000008.SZ,86.648583,87.094077,84.866607,86.425836,9822646,0
2019-01-02,002500.SZ,6.43383378,6.47715926,6.36884556,6.43383378,11036429,0
2019-01-02,002382.SZ,95.3806868,96.08959731,90.54720605,91.77168784,1844908,0
2019-01-02,000690.SZ,271.7309295,272.13349384,262.06938534,265.6924644,6930960,0
2019-01-02,603377.SH,20.6924256,20.92234144,19.74402276,19.74402276,2156389,0
2019-01-02,002359.SZ,42.45395926,43.953551,42.35053914,43.53987052,24928233,0
2019-01-02,600141.SH,33.43842024,33.63282966,32.7255857,32.79038884,5245201,0
2019-01-02,601311.SH,18.8924648,18.8924648,18.50602802,18.54896544,1878169,0
2019-01-02,002414.SZ,46.15474412,46.36568902,43.83435022,44.21405104,8028770,0
2019-01-02,002366.SZ,22.0972052,22.25968465,21.74903495,21.9115144,7498615,0
2019-01-02,002416.SZ,15.4665609,15.4665609,14.76471696,14.89468806,3306545,0
2019-01-02,002358.SZ,147.37615435,147.37615435,141.7369754,141.98947595,6395019,0
2019-01-02,002372.SZ,97.611704,98.1138864,91.2716512,91.8366064,5628082,0
2019-01-02,000887.SZ,69.04067555,69.24473666,66.86402371,67.00006445,5571498,0
2019-01-02,600572.SH,87.89086642,88.33550824,86.7051549,87.4462246,7890373,0
2019-01-02,600867.SH,460.6256465,461.613407,449.101774,453.3820695,12361516,0
2019-01-02,300287.SZ,47.1090256,47.85285232,46.86108336,47.23299672,17131700,0
2019-01-02,002203.SZ,28.7317992,29.02648432,28.28977152,28.28977152,5323829,0
2019-01-02,601168.SH,6.52141704,6.54375066,6.42091575,6.44324937,6416873,0
2019-01-02,601969.SH,4.58651375,4.62683475,4.42522975,4.42522975,2266200,0
2019-01-02,300133.SZ,220.8571272,220.8571272,203.9070384,203.9070384,22222182,0
2019-01-02,300166.SZ,192.71888524,194.57910614,187.13822254,189.37048762,6811087,0
2019-01-02,600567.SH,12.36588559,12.40564728,12.28636221,12.36588559,14374340,0
2019-01-02,600545.SH,30.859998,30.859998,29.2335927,30.7765926,6445194,0
2019-01-02,300180.SZ,51.90510003,52.09164127,50.87912321,51.53201755,4544702,0
2019-01-02,002004.SZ,84.25241532,86.62829688,84.25241532,85.16621592,6283786,0
2019-01-02,002250.SZ,56.26238436,56.32236558,54.04307922,54.22302288,4108315,0
2019-01-02,000612.SZ,38.48619632,39.16479424,37.22594304,37.51677072,2959424,0
2019-01-02,600525.SH,55.1428682,55.2699255,50.9499773,51.7123211,88469628,0
2019-01-02,002663.SZ,20.40833,20.40833,19.91853008,20.16343004,5263029,0
2019-01-02,600645.SH,299.11352814,317.434005,296.39266524,311.26671576,9788049,0
2019-01-02,300418.SZ,51.43463628,52.1512179,50.99672529,51.3550161,3820629,0
2019-01-02,002049.SZ,128.17942258,128.92797984,127.43086532,127.9152259,4844844,0
2019-01-02,002249.SZ,39.4389148,39.5580656,38.72401,38.8431608,4059900,0
2019-01-02,002444.SZ,40.911446,41.3420928,40.09321708,40.39466984,4035727,0
2019-01-02,600782.SH,53.22820672,53.43735488,51.65959552,52.07789184,22346575,0
2019-01-02,002437.SZ,44.58121362,45.05548185,43.00031952,43.63267716,8594026,0
2019-01-02,002426.SZ,12.2185236,12.37652175,12.1131915,12.2185236,9127140,0
2019-01-02,300026.SZ,144.70035894,145.17323593,141.39022001,141.863097,6851309,0
2019-01-02,600600.SH,57.83061433,59.10616784,56.52192956,57.1514235,2866826,0
2019-01-02,000758.SZ,61.57004988,62.07472242,60.05603226,60.22425644,4689431,0
2019-01-02,000089.SZ,54.247752,54.247752,52.9263324,53.0654292,4484565,0
2019-01-02,000156.SZ,7.9928748,8.0932878,7.9627509,8.0129574,3003921,0
2019-01-02,000778.SZ,53.33062155,53.69841894,52.22722938,52.47242764,12071220,0
2019-01-02,002080.SZ,28.72454935,29.29547207,28.65318401,28.83159736,2824540,0
2019-01-02,600751.SH,12.4768971,12.56931856,12.19963272,12.33826491,13383553,0
2019-01-02,000537.SZ,43.7982534,44.3845754,43.3291958,43.387828,4769718,0
2019-01-02,601326.SH,3.24583591,3.2765536,3.18440053,3.19463976,3513142,0
2019-01-02,002648.SZ,41.72433525,41.80992363,40.2265386,40.48330374,3713275,0
2019-01-02,603198.SH,15.49414867,15.65886322,15.02196696,15.02196696,2236673,0
2019-01-02,002818.SZ,22.04710998,22.16359327,21.84591157,21.87767974,504104,0
2019-01-02,000301.SZ,12.1188456,12.1629944,11.9643248,11.9643248,2744400,0
2019-01-02,002155.SZ,20.8039962,21.28408842,20.32390398,21.12405768,34874732,0
2019-01-02,600062.SH,90.8716188,90.8716188,85.53065445,85.83155385,8040486,0
2019-01-02,603486.SH,46.01,47.26,45.73,46.71,949437,0
2019-01-02,600549.SH,157.69119285,157.95076683,153.66779616,153.66779616,6356928,0
2019-01-02,600657.SH,61.52302602,61.8361203,59.17481892,59.64446034,7056501,0
2019-01-02,002572.SZ,294.03216325,295.78757915,284.3773758,284.90400057,4503681,0
2019-01-02,600132.SH,162.72082944,166.0091904,155.56068864,157.41702144,2830198,0
2019-01-02,601100.SH,44.19530121,44.19530121,40.95386536,41.75863564,6707388,0
2019-01-02,300463.SZ,44.3493688,44.74426044,43.04318876,43.04318876,1812994,0
2019-01-02,002387.SZ,27.00177414,27.49983058,26.75274592,27.0373496,1257176,0
2019-01-02,002839.SZ,5.44288044,5.52442172,5.38172448,5.47345842,11917806,0
