date,code,close,open,high,low,volume,amount,turnover
2016/1/21,CI005018.CI,8779.3322,"8,779.33","8,779.33","8,779.33","1,981.80",392.0089,2.0397
2016/1/21,CI005019.CI,6883.8323,"6,883.83","6,883.83","6,883.83",675.7594,100.627,1.4436
2016/1/21,CI005020.CI,5342.7121,"5,342.71","5,342.71","5,342.71",931.5323,111.3945,2.2589
2016/1/21,CI005021.CI,5321.4168,"5,321.42","5,321.42","5,321.42","1,325.82",89.5071,0.1298
2016/1/21,CI005022.CI,6812.914,"6,812.91","6,812.91","6,812.91","1,534.93",239.3162,1.1436
2016/1/21,CI005023.CI,6865.2759,"6,865.28","6,865.28","6,865.28","2,778.00",301.7718,1.7128
2016/1/21,CI005024.CI,2043.6689,"2,043.67","2,043.67","2,043.67","1,781.12",159.2489,0.9705
2016/1/21,CI005025.CI,4481.2682,"4,481.27","4,481.27","4,481.27","2,338.74",331.9002,2.4532
2016/1/21,CI005026.CI,4611.8109,"4,611.81","4,611.81","4,611.81","1,075.36",183.9828,1.9767
2016/1/21,CI005027.CI,6538.1497,"6,538.15","6,538.15","6,538.15","1,616.98",428.8622,3.7696
2016/1/21,CI005028.CI,5130.7817,"5,130.78","5,130.78","5,130.78","1,134.81",255.9294,2.7089
2016/1/21,CI005029.CI,5434.7883,"5,434.79","5,434.79","5,434.79",632.9244,72.7482,2.9274
2016/1/21,CI005030.CI,1808.3716,"1,808.37","1,808.37","1,808.37",0,0,0
2016/1/22,CI005001.CI,1987.9509,"1,987.95","1,987.95","1,987.95",518.415,40.9228,0.1791
2016/1/22,CI005002.CI,1515.0026,"1,515.00","1,515.00","1,515.00","1,081.11",69.5527,1.4497
2016/1/22,CI005003.CI,4143.0226,"4,143.02","4,143.02","4,143.02","1,367.77",154.0615,1.263
2016/1/22,CI005004.CI,2878.0406,"2,878.04","2,878.04","2,878.04","1,247.22",122.0519,0.7426
2016/1/22,CI005005.CI,1400.5549,"1,400.55","1,400.55","1,400.55","1,636.14",78.9881,1.2593
2016/1/22,CI005006.CI,4755.921,"4,755.92","4,755.92","4,755.92","1,848.49",258.6536,1.8962
2016/1/22,CI005007.CI,3846.4315,"3,846.43","3,846.43","3,846.43","1,404.73",154.4811,0.9819
2016/1/22,CI005008.CI,4913.1946,"4,913.19","4,913.19","4,913.19",983.3823,124.5788,2.2783
2016/1/22,CI005009.CI,3827.7778,"3,827.78","3,827.78","3,827.78",805.8021,108.2402,2.4346
2016/1/22,CI005010.CI,6169.9439,"6,169.94","6,169.94","6,169.94","2,139.15",304.5457,1.4964
2016/1/22,CI005011.CI,6083.5923,"6,083.59","6,083.59","6,083.59","1,466.75",187.1975,1.7131
2016/1/22,CI005012.CI,8099.3265,"8,099.33","8,099.33","8,099.33",727.6128,130.2394,1.7117
2016/1/22,CI005013.CI,6159.7207,"6,159.72","6,159.72","6,159.72","1,178.27",170.6643,1.2763
2016/1/22,CI005014.CI,5558.4114,"5,558.41","5,558.41","5,558.41",959.6642,115.3954,1.5505
2016/1/22,CI005015.CI,7826.4303,"7,826.43","7,826.43","7,826.43",195.2528,32.356,1.6322
2016/1/22,CI005016.CI,6922.1745,"6,922.17","6,922.17","6,922.17",611.5883,84.2739,1.4227
2016/1/22,CI005017.CI,4530.0838,"4,530.08","4,530.08","4,530.08",665.5588,92.6627,1.8679
2016/1/22,CI005018.CI,8855.551,"8,855.55","8,855.55","8,855.55","1,611.01",328.8017,1.6471
2016/1/22,CI005019.CI,6935.9824,"6,935.98","6,935.98","6,935.98",617.2903,92.41,1.3234
2016/1/22,CI005020.CI,5386.8604,"5,386.86","5,386.86","5,386.86",789.2521,93.6365,1.9181
2016/1/22,CI005021.CI,5359.1833,"5,359.18","5,359.18","5,359.18",977.1106,67.7374,0.0956
2016/1/22,CI005022.CI,6883.0826,"6,883.08","6,883.08","6,883.08","1,141.30",175.5209,0.8503
2016/1/22,CI005023.CI,6955.2025,"6,955.20","6,955.20","6,955.20","2,329.42",247.5009,1.4501
2016/1/22,CI005024.CI,2067.9267,"2,067.93","2,067.93","2,067.93","1,343.77",121.8667,0.7334
2016/1/22,CI005025.CI,4572.631,"4,572.63","4,572.63","4,572.63","1,965.08",283.0577,2.0589
2016/1/22,CI005026.CI,4723.1776,"4,723.18","4,723.18","4,723.18",927.6712,152.0441,1.6951
2016/1/22,CI005027.CI,6660.0081,"6,660.01","6,660.01","6,660.01","1,391.00",355.874,3.2461
2016/1/22,CI005028.CI,5260.1495,"5,260.15","5,260.15","5,260.15","1,107.17",233.3981,2.6223
2016/1/22,CI005029.CI,5541.8361,"5,541.84","5,541.84","5,541.84",605.1659,70.1176,2.8041
2016/1/22,CI005030.CI,1808.3716,"1,808.37","1,808.37","1,808.37",0,0,0
2016/1/25,CI005001.CI,2020.9391,"2,020.94","2,020.94","2,020.94",573.8578,47.6489,0.1976
2016/1/25,CI005002.CI,1565.3423,"1,565.34","1,565.34","1,565.34","1,359.92",90.8566,1.8149
2016/1/25,CI005003.CI,4200.2289,"4,200.23","4,200.23","4,200.23","1,412.59",153.264,1.2707
2016/1/25,CI005004.CI,2898.8651,"2,898.87","2,898.87","2,898.87","1,081.34",107.7052,0.6451
2016/1/25,CI005005.CI,1418.7823,"1,418.78","1,418.78","1,418.78","1,828.95",90.84,1.4058
2016/1/25,CI005006.CI,4815.5671,"4,815.57","4,815.57","4,815.57","1,693.66",241.1946,1.7543
2016/1/25,CI005007.CI,3864.2712,"3,864.27","3,864.27","3,864.27","1,205.57",136.0781,0.8438
2016/1/25,CI005008.CI,5011.1294,"5,011.13","5,011.13","5,011.13","1,023.96",135.5905,2.3766
2016/1/25,CI005009.CI,3892.5791,"3,892.58","3,892.58","3,892.58",745.1122,108.1896,2.2386
2016/1/25,CI005010.CI,6218.8159,"6,218.82","6,218.82","6,218.82","2,067.44",310.2326,1.4341
2016/1/25,CI005011.CI,6177.1023,"6,177.10","6,177.10","6,177.10","1,384.29",178.4105,1.6084
2016/1/25,CI005012.CI,8146.1853,"8,146.19","8,146.19","8,146.19",604.0546,109.022,1.4189
2016/1/25,CI005013.CI,6210.7198,"6,210.72","6,210.72","6,210.72","1,107.00",160.0006,1.2032
2016/1/25,CI005014.CI,5650.6133,"5,650.61","5,650.61","5,650.61",943.777,117.7156,1.5228
2016/1/25,CI005015.CI,7976.6624,"7,976.66","7,976.66","7,976.66",181.8701,30.2491,1.5714
2016/1/25,CI005016.CI,7035.6245,"7,035.62","7,035.62","7,035.62",614.9946,83.8442,1.4366
2016/1/25,CI005017.CI,4594.8522,"4,594.85","4,594.85","4,594.85",607.6023,92.3953,1.6968
2016/1/25,CI005018.CI,8941.6651,"8,941.67","8,941.67","8,941.67","1,327.99",282.8246,1.4192
2016/1/25,CI005019.CI,7016.1447,"7,016.14","7,016.14","7,016.14",583.9009,87.9061,1.2453
2016/1/25,CI005020.CI,5445.9699,"5,445.97","5,445.97","5,445.97",894.0828,107.9755,2.1737
2016/1/25,CI005021.CI,5367.7751,"5,367.78","5,367.78","5,367.78",843.2864,55.4516,0.0825
2016/1/25,CI005022.CI,6900.1996,"6,900.20","6,900.20","6,900.20","1,017.65",144.1623,0.74
2016/1/25,CI005023.CI,7027.4263,"7,027.43","7,027.43","7,027.43","2,137.31",236.3812,1.3261
2016/1/25,CI005024.CI,2083.7841,"2,083.78","2,083.78","2,083.78","1,164.99",112.4253,0.6322
2016/1/25,CI005025.CI,4652.7838,"4,652.78","4,652.78","4,652.78","1,763.05",279.439,1.8362
2016/1/25,CI005026.CI,4788.2602,"4,788.26","4,788.26","4,788.26",810.2542,140.3515,1.4773
2016/1/25,CI005027.CI,6676.7257,"6,676.73","6,676.73","6,676.73","1,170.08",296.5683,2.6716
2016/1/25,CI005028.CI,5328.2889,"5,328.29","5,328.29","5,328.29",966.9167,216.1467,2.2811
2016/1/25,CI005029.CI,5596.8844,"5,596.88","5,596.88","5,596.88",571.6596,63.4924,2.6589
2016/1/25,CI005030.CI,1808.3716,"1,808.37","1,808.37","1,808.37",0,0,0
2016/1/26,CI005001.CI,1880.7167,"1,880.72","1,880.72","1,880.72",762.0458,57.6587,0.263
2016/1/26,CI005002.CI,1444.0109,"1,444.01","1,444.01","1,444.01","1,050.27",67.3187,1.4121
2016/1/26,CI005003.CI,3880.8225,"3,880.82","3,880.82","3,880.82","1,862.04",191.1639,1.675
2016/1/26,CI005004.CI,2668.9398,"2,668.94","2,668.94","2,668.94","1,852.10",175.1823,1.0976
2016/1/26,CI005005.CI,1316.5432,"1,316.54","1,316.54","1,316.54","2,172.67",103.653,1.6694
2016/1/26,CI005006.CI,4419.0845,"4,419.08","4,419.08","4,419.08","2,252.60",288.5205,2.3106
2016/1/26,CI005007.CI,3547.5246,"3,547.52","3,547.52","3,547.52","1,590.50",158.9037,1.113
2016/1/26,CI005008.CI,4638.3424,"4,638.34","4,638.34","4,638.34","1,362.86",165.5747,3.2058
2016/1/26,CI005009.CI,3592.8868,"3,592.89","3,592.89","3,592.89",958.5485,116.8184,2.8895
2016/1/26,CI005010.CI,5687.1888,"5,687.19","5,687.19","5,687.19","2,714.33",358.6335,1.8894
2016/1/26,CI005011.CI,5651.9968,"5,652.00","5,652.00","5,652.00","1,870.57",217.3908,2.1987
2016/1/26,CI005012.CI,7435.2311,"7,435.23","7,435.23","7,435.23",869.9316,150.023,2.0473
2016/1/26,CI005013.CI,5749.2907,"5,749.29","5,749.29","5,749.29","1,439.43",188.0878,1.5781
2016/1/26,CI005014.CI,5177.8439,"5,177.84","5,177.84","5,177.84","1,286.59",155.5517,2.0759
2016/1/26,CI005015.CI,7323.1314,"7,323.13","7,323.13","7,323.13",224.6364,37.3737,1.9006
2016/1/26,CI005016.CI,6617.9535,"6,617.95","6,617.95","6,617.95",849.5379,105.7637,1.9798
2016/1/26,CI005017.CI,4226.2573,"4,226.26","4,226.26","4,226.26",835.5426,107.9142,2.2946
2016/1/26,CI005018.CI,8293.8595,"8,293.86","8,293.86","8,293.86","1,952.75",355.5312,2.0206
2016/1/26,CI005019.CI,6642.9401,"6,642.94","6,642.94","6,642.94",719.3942,107.1165,1.5494
2016/1/26,CI005020.CI,5019.4091,"5,019.41","5,019.41","5,019.41","1,106.26",125.6472,2.6889
2016/1/26,CI005021.CI,5154.1431,"5,154.14","5,154.14","5,154.14","1,376.68",89.7972,0.1348
2016/1/26,CI005022.CI,6392.8458,"6,392.85","6,392.85","6,392.85","1,785.11",252.1771,1.2798
2016/1/26,CI005023.CI,6466.6713,"6,466.67","6,466.67","6,466.67","2,805.89",287.6138,1.7464
2016/1/26,CI005024.CI,1928.0006,"1,928.00","1,928.00","1,928.00","1,707.30",147.3459,0.9288
2016/1/26,CI005025.CI,4270.0221,"4,270.02","4,270.02","4,270.02","2,539.34",364.6201,2.6515
2016/1/26,CI005026.CI,4388.6682,"4,388.67","4,388.67","4,388.67","1,182.64",181.8783,2.157
2016/1/26,CI005027.CI,6055.8852,"6,055.89","6,055.89","6,055.89","1,383.35",341.7492,3.2055
2016/1/26,CI005028.CI,4849.1998,"4,849.20","4,849.20","4,849.20","1,096.19",238.469,2.5989
2016/1/26,CI005029.CI,5100.6651,"5,100.67","5,100.67","5,100.67",673.3874,75.52,3.1298
2016/1/26,CI005030.CI,1808.3716,"1,808.37","1,808.37","1,808.37",0,0,0
2016/1/27,CI005001.CI,1886.6363,"1,886.64","1,886.64","1,886.64",790.9949,57.0021,0.2762
2016/1/27,CI005002.CI,1479.4128,"1,479.41","1,479.41","1,479.41","1,180.52",75.2138,1.5873
2016/1/27,CI005003.CI,3839.0472,"3,839.05","3,839.05","3,839.05","1,912.44",186.2394,1.7381
2016/1/27,CI005004.CI,2620.6468,"2,620.65","2,620.65","2,620.65","1,986.85",175.8677,1.1829
2016/1/27,CI005005.CI,1316.4456,"1,316.45","1,316.45","1,316.45","2,085.50",98.2833,1.5983
2016/1/27,CI005006.CI,4359.6585,"4,359.66","4,359.66","4,359.66","2,383.06",285.7718,2.3837
2016/1/27,CI005007.CI,3504.7682,"3,504.77","3,504.77","3,504.77","1,540.07",143.5165,1.0696
2016/1/27,CI005008.CI,4579.4444,"4,579.44","4,579.44","4,579.44","1,161.14",129.9193,2.707
2016/1/27,CI005009.CI,3501.4167,"3,501.42","3,501.42","3,501.42",934.9247,105.5883,2.7926
