,CSI300,SP500,HSI,CR_GOV,CR_CORP,159934.SZ
2020-12-31,0.3333328246047264,0.3333328246047264,0.3333328246047264,6.09919493117183e-10,4.3047344890133884e-10,1.5251454275774022e-06
2021-01-29,0.3333292710652857,0.3333292710652857,0.3333292710652857,1.847012178367147e-08,8.13643732975685e-09,1.2160197583634611e-05
2021-02-26,0.3333201128994944,0.3333201128994944,0.3333201128994944,2.6662430848458436e-08,1.1655978259636327e-08,3.962298310748495e-05
2021-03-31,0.33333310693541174,0.33333310693541174,0.33333310693541174,3.8530433951495535e-10,1.6181462193001587e-10,6.786466457046206e-07
2021-04-30,0.33331950438419433,0.33331950438419433,0.33331950438419433,4.173157349001331e-08,8.672063424469028e-09,4.143644378006064e-05
2021-05-31,0.33333312858509734,0.33333312858509734,0.33333312858509734,4.6156164330724895e-10,1.0731529953861717e-10,6.136758309064689e-07
2021-06-30,0.3333327087306214,0.3333327087306214,0.3333327087306214,7.551462046992835e-10,4.914224813770865e-10,1.872561567114749e-06
2021-07-30,0.333332239576118,0.333332239576118,0.333332239576118,1.7478395357536376e-09,1.629081471276939e-09,3.277894724843851e-06
2021-08-31,0.33333228782678365,0.33333228782678365,0.33333228782678365,1.6980135009113887e-09,1.5726708300283645e-09,3.1332489646783155e-06
2021-09-30,0.33333232520257655,0.33333232520257655,0.33333232520257655,1.6174818018558608e-09,1.494518540636762e-09,3.021280269977315e-06
2021-10-29,0.3333319313305868,0.3333319313305868,0.3333319313305868,2.505594312483413e-09,2.378758658249987e-09,4.20112388669665e-06
2021-11-30,0.3333293796892873,0.3333293796892873,0.3333293796892873,1.0299621774284917e-08,9.94265128903459e-09,1.184068986492221e-05
2021-12-31,0.3333311040388206,0.3333311040388206,0.3333311040388206,8.54274767882035e-08,5.6424749762392293e-08,6.546031311487314e-06
2022-01-31,0.33333298668692424,0.33333298668692424,0.33333298668692424,9.298578292764929e-10,8.985878038783519e-10,1.0381107816145867e-06
2022-02-28,0.33333245684515916,0.33333245684515916,0.33333245684515916,1.9292919860722073e-09,1.9065400662648465e-09,2.6256286902914268e-06
2022-03-31,0.33333245996621574,0.33333245996621574,0.33333245996621574,2.4375580307145307e-09,2.4085358765604162e-09,2.6152552587204814e-06
2022-04-29,0.3333327760276262,0.3333327760276262,0.3333327760276262,1.9982701571577287e-09,1.965310782881754e-09,1.6679535405487846e-06
2022-05-31,0.333332194519285,0.333332194519285,0.333332194519285,4.114821915423279e-09,4.063058906507456e-09,3.4082642639340843e-06
2022-06-30,0.3333322671877426,0.3333322671877426,0.3333322671877426,4.4800198133181885e-09,4.418221792460386e-09,3.1895385303939477e-06
2022-07-29,0.3333324652303287,0.3333324652303287,0.3333324652303287,3.690305483420082e-09,3.637501851221464e-09,2.596981206256843e-06
2022-08-31,0.3333323435180989,0.3333323435180989,0.3333323435180989,4.186135087752317e-09,4.115007871883081e-09,2.9611445602903724e-06
2022-09-30,0.3333326494869048,0.3333326494869048,0.3333326494869048,3.4250473883494087e-09,3.3411095819015113e-09,2.044773128447821e-06
2022-10-31,0.3333328451706829,0.3333328451706829,0.3333328451706829,2.8033885580143467e-09,2.715118807167778e-09,1.458969443736739e-06
2022-11-30,0.3333333290795414,0.3333333290795414,0.3333333290795414,0.0,0.0,1.2761375612938369e-08
2022-12-30,0.3333332834374001,0.3333332834374001,0.3333332834374001,3.211675764279392e-10,2.90911757291921e-10,1.4907572033180482e-07
2023-01-31,0.33333233823432296,0.33333233823432296,0.33333233823432296,5.6344043076936615e-09,5.551229167223193e-09,2.974111397454663e-06
