,CSI300,SP500,HSI,CR_GOV,CR_CORP,159934.SZ
2015-12-31,0.1116804958711814,1.8518958883504186e-10,7.763525726023764e-09,1.453659374773542e-09,0.8883194173696748,7.73567690784341e-08
2016-01-29,1.5928645045767525e-08,0.268857834005062,0.268857834005062,0.4622837678253721,1.1909782121353662e-07,4.291380377286135e-07
2016-02-29,0.26655774398971316,0.0,0.7334420716897375,1.8432054926999522e-07,0.0,0.0
2016-03-31,0.3611140408006537,4.168514922127782e-06,0.3611140408006537,4.0598963680422834e-08,4.0720287913079566e-08,0.27776766856451884
2016-04-29,0.16846334657105919,7.408352958927059e-09,0.12610274497688875,0.44045996075101024,1.5675536737309248e-09,0.26497393872513514
2016-05-31,0.13842998417805885,0.053198311936775766,0.12898275196746328,0.6793889484985065,2.8882170168854786e-09,5.309785769160124e-10
2016-06-30,0.2813547189898675,0.3593225066470067,0.3593225066470067,1.034600619519625e-09,9.799109849415975e-10,2.657016074742194e-07
2016-07-29,0.39923005935916955,0.2015308788495258,8.554042939540937e-06,2.1986156560791486e-07,2.2852762978198203e-07,0.39923005935916955
2016-08-31,0.18090147769997583,8.583607230450052e-08,0.3070379722523259,1.2833697065403274e-08,0.20502247912560312,0.3070379722523259
2016-09-30,0.2421512694249065,1.2026653422680983e-09,0.2421512694249065,0.5156938584139348,4.4802712497967164e-08,3.55673087438258e-06
2016-10-31,0.07664469884334339,9.68125846839032e-09,2.306952892681254e-10,0.7938490554275776,4.960101095887011e-09,0.12950623085702417
2016-11-30,0.23498770267562522,0.1683460693998741,1.0051294246025353e-07,1.353684940191797e-07,0.5966656005087847,3.915342795437964e-07
2016-12-30,0.2266541240762453,0.04245094631384589,0.07309712925292379,0.4311436762807398,0.0,0.2266541240762453
2017-01-31,0.11187231911671429,8.900387108655272e-10,0.05736843414429895,0.6371602053442736,0.06155492744998106,0.13204411305469335
2017-02-28,3.625758076792347e-08,0.16415242618983392,8.78599494008043e-09,0.6524040698840241,7.54468524084664e-10,0.18344345812809776
2017-03-31,6.251497734092607e-08,0.23034262627267588,2.288405698096254e-08,0.5691337172080989,3.941528095717254e-08,0.20052353170491002
2017-04-28,0.06297476153574859,0.1118062215533996,0.20434436387788132,0.46535852876611933,1.458387872887094e-09,0.15551612280846328
2017-05-31,0.10926532945251093,9.84947843608555e-07,0.08419180459452713,0.6048907091659479,0.07714108604675114,0.12451008579241923
2017-06-30,0.2723884295602304,1.126316447057492e-08,0.2723884295602304,2.3712699026159693e-07,0.4552209792044856,1.9132848988347226e-06
2017-07-31,0.16984654325952195,7.039080314146531e-08,1.0708684311268653e-10,2.2788722084241954e-09,0.8099260426881517,0.020227341275564144
2017-08-31,0.19199822248213727,0.37173354087836114,0.37173354087836114,0.06453469576114056,0.0,0.0
2017-09-29,0.14891596979524063,0.22255244434230978,2.3533982534444592e-08,0.6285315592199534,3.1024463013899805e-09,6.067223811975677e-12
2017-10-31,0.1354112209377322,3.234480348291916e-09,1.0287706322437873e-08,1.0261825251418463e-08,0.6978844033809933,0.16670435189726254
2017-11-30,0.10945355737260931,0.06679932225840672,2.424717697541766e-09,4.731230438952817e-09,0.7341792700056864,0.08956784320734944
2017-12-29,0.274126591491719,0.17761935410015228,0.274126591491719,5.798482372930191e-08,8.134398669689054e-07,0.274126591491719
2018-01-31,6.978813445724297e-10,5.618390832428573e-10,5.594977453333123e-10,0.9999999107500059,8.658683571987323e-08,8.439402139998251e-10
2018-02-28,2.625879628962673e-10,3.4915999014502374e-11,6.295999493834214e-11,0.9999999972617326,2.2801894971123377e-09,9.761388114282998e-11
2018-03-30,0.4999996323246256,0.4999996323246256,5.652300826377444e-07,1.2645931956235722e-07,4.366134667375246e-08,0.0
2018-04-30,0.1549113283002523,0.26103674250180103,0.26103674250180103,2.302800822524398e-08,0.32301515991125274,3.7568845984876315e-09
2018-05-31,9.43607822281236e-08,0.7218662308421171,4.111203354492981e-09,9.62461014236866e-08,2.3238721227696562e-08,0.2781335512010746
