排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
393,特色药,BK1656,948.03,-2.76,-0.29,629374240000,1.46,13,24,珍宝岛,6.15
394,辅助生殖,BK0939,1120.07,-3.31,-0.29,568778496000,2.15,18,35,共同药业,6.6
395,反内卷概念,BK1197,1177.55,-3.39,-0.29,5997690112000,1.96,62,89,永杉锂业,9.98
396,全息技术,BK0699,3244.04,-9.73,-0.3,256278961000,4.1,8,3,苏州科达,6.48
397,稀缺资源,BK0519,39235.1,-119.59,-0.3,5457859328000,2.5,27,50,融捷股份,10.0
398,人造肉,BK0866,1291.58,-3.83,-0.3,211298663000,6.19,10,6,金字火腿,3.16
399,滨海新区,BK0566,11531.86,-35.67,-0.31,229766406000,2.75,9,11,津投城开,10.08
400,茅指数,BK0999,761.27,-2.44,-0.32,14037081856000,1.43,11,30,中芯国际,5.57
401,证金持股,BK0718,1466.08,-4.73,-0.32,34537876224000,0.63,58,120,金 融 街,10.07
402,上证380,BK0705,3052.08,-9.86,-0.32,12338096640000,1.81,143,229,衢州发展,9.9
403,氢能源,BK0864,1678.57,-5.36,-0.32,6337814784000,2.38,119,145,宝光股份,10.03
404,可燃冰,BK0818,1774.34,-5.78,-0.32,267667716000,1.18,3,6,海默科技,3.42
405,动力电池回收,BK1052,1120.62,-3.74,-0.33,3402946736000,4.84,20,22,超越科技,7.78
406,标准普尔,BK0879,1825.57,-6.24,-0.34,67482508288000,1.35,395,609,安道麦A,10.0
407,肝炎概念,BK1078,1403.35,-4.85,-0.34,636555920000,2.39,16,38,葵花药业,5.95
408,破净股,BK1112,1540.75,-5.33,-0.34,21450055936000,0.67,99,167,安道麦A,10.0
409,参股保险,BK0604,2856.13,-9.9,-0.35,6726829056000,0.73,22,49,红豆股份,9.96
410,共享经济,BK0807,964.27,-3.46,-0.36,245446141000,2.15,7,11,姚记科技,5.08
