,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2019-05-31,0.2819,0.1420,0.4600,1.5259,0.7932,0.5303,0.5762,2.4305,0.9734,1.0709,0.8063,0.6066,1.4963,0.8399,6.7729,6.4490,0.4896,1.9461,4.3890,1.2233,0.8454,2.1255,1.1483,2.5366,1.9006,0.9291,0.7597,0.8583,0.4343,0.0000
2019-06-28,0.2971,0.1827,0.5494,1.5516,0.8827,0.6284,0.6856,2.9598,1.0467,1.2006,0.8857,0.6696,1.5575,0.8628,6.9049,6.6937,0.5443,2.1341,4.8605,1.2681,0.9646,2.2739,1.2329,2.8703,2.0528,1.0405,0.9112,0.9318,0.4326,0.0000
2019-07-31,0.2716,0.1918,0.5027,1.7174,0.8672,0.5891,0.7467,3.0252,1.1517,1.3962,0.9936,0.7327,1.6733,0.8747,7.2298,6.9840,0.5978,2.2747,4.7466,1.3962,1.0521,2.1619,1.3221,2.7598,2.0306,1.3974,0.9540,0.9919,0.3209,0.0000
2019-08-30,0.2768,0.1630,0.6093,1.7845,0.7759,0.6552,0.7366,3.2103,1.4235,1.2610,1.0197,0.8101,1.7072,0.9030,7.1826,7.1072,0.6331,2.4975,4.9776,1.4964,1.0220,2.1188,1.3711,2.8369,1.9260,1.2848,1.0841,1.0682,0.3570,0.0000
2019-09-30,0.3217,0.1749,0.7007,1.7971,0.8685,0.7296,0.7921,3.5698,1.4742,1.4860,1.1602,0.8966,1.6947,0.9480,6.9400,7.3727,0.6363,2.5697,4.9832,1.7405,1.2325,2.2488,1.5490,2.7780,2.1455,1.4063,1.1496,1.1870,0.4612,0.0000
2019-10-31,0.3155,0.1522,0.7066,1.8064,0.8743,0.7444,0.8383,3.7444,1.4822,1.5524,1.1328,0.8628,1.7876,0.9743,6.7988,8.0600,0.6160,2.7564,5.1147,1.9101,1.2669,2.2678,1.6446,2.6576,2.0830,1.4316,1.1315,1.2640,0.5591,0.0000
2019-11-29,0.3600,0.1978,0.8214,1.8527,1.0522,0.8592,0.9646,4.1646,1.6883,1.7218,1.1996,0.9884,1.9379,0.9986,6.6036,8.3896,0.5869,2.7810,5.0933,2.0324,1.3000,2.2833,1.7449,2.7208,2.3882,1.5640,1.3508,1.3793,0.5902,0.0000
2019-12-31,0.4125,0.2571,0.9835,1.9742,1.2109,0.9695,1.0748,4.7619,1.8150,1.9951,1.1267,1.0189,2.1115,1.0131,5.7086,9.2442,0.5797,2.8579,5.3790,2.0488,1.4284,2.4546,1.9690,2.7258,2.5357,1.8623,1.4420,1.5189,0.4904,0.4709
2020-01-23,0.4317,0.1917,1.0416,1.9725,1.2006,1.0058,1.1766,4.5542,1.9692,1.9141,1.2215,1.0947,2.1455,1.1044,5.6490,9.1466,0.6282,2.9687,5.2671,2.0947,1.3866,2.3941,1.9368,2.3672,2.5381,2.0747,1.6797,1.6447,0.4853,0.4713
2020-02-28,0.3986,0.1542,0.9712,1.9017,1.0816,1.0010,1.2784,4.6373,1.9988,2.0502,1.3473,1.0922,2.1305,1.2264,6.0812,8.5438,0.5161,3.0633,5.4113,2.2319,1.3073,2.3323,1.9413,2.4053,2.4155,1.9256,1.8532,1.5548,0.4718,0.5236
2020-03-31,0.3355,0.1210,0.9798,1.8182,0.9736,0.8536,1.2626,4.1615,1.5724,1.7570,1.1334,1.0415,1.7564,1.3319,5.4093,7.6947,0.4549,3.1400,5.0058,1.8282,1.2278,2.1215,1.7968,2.1076,2.2204,1.7905,1.7516,1.4021,0.3797,0.4563
