date,industry_code,hold_mv,config_ratio,float_ratio,hold_mv_change,hold_mv_yoy,config_ratio_yoy,float_ratio_yoy,period
2021-11-30,电力设备及新能源,,12.04,4.1459,,0.0,1.9294403892944034,0.6940710170391862,2021-11
2021-12-31,电力设备及新能源,,10.89,4.1602,,0.0,1.0625,0.4148415181607943,2021-12
2022-01-28,电力设备及新能源,,10.66,4.1625,,0.0,0.8442906574394462,0.274338721528288,2022-01
2022-02-28,电力设备及新能源,,10.85,4.1106,,0.0,0.8610634648370497,0.21235179614227562,2022-02
2022-03-31,电力设备及新能源,,11.33,4.1749,,0.0,0.9268707482993197,0.24382541337702968,2022-03
2022-04-29,电力设备及新能源,,10.83,4.4291,,0.0,0.6948356807511737,0.2180908115838398,2022-04
2022-05-31,电力设备及新能源,,11.61,4.4453,,0.0,0.7834101382488479,0.21247579303384878,2022-05
2022-06-30,电力设备及新能源,,13.47,5.1357,,0.0,0.6426829268292684,0.32963106796116515,2022-06
2022-07-29,电力设备及新能源,,14.29,5.0025,,0.0,0.4731958762886599,0.30914372448445526,2022-07
2022-08-31,电力设备及新能源,,13.54,5.0066,,0.0,0.3120155038759689,0.3017342242791399,2022-08
2022-09-30,电力设备及新能源,,12.92,4.938,,0.0,0.26666666666666683,0.2600796162090435,2022-09
2022-10-31,电力设备及新能源,,14.29,4.9034,,0.0,0.23295944779982736,0.17517076093469153,2022-10
2022-11-30,电力设备及新能源,,12.9,4.7876,,0.0,0.07142857142857162,0.154779420632432,2022-11
2022-12-30,电力设备及新能源,,12.1,4.7669,,0.0,0.11111111111111094,0.14583433488774578,2022-12
2023-01-31,电力设备及新能源,,12.57,5.0458,,0.0,0.1791744840525329,0.21220420420420427,2023-01
2023-02-28,电力设备及新能源,,11.9,4.8988,,0.0,0.09677419354838723,0.1917481632851652,2023-02
2023-03-31,电力设备及新能源,,11.41,5.1048,,0.0,0.007060900264783676,0.22273587391314753,2023-03
