,沪深300,新华商品指数,债券指数,标普500,上证50,纳斯达克100,中证REITs
2023-10-12,3702.3824,2498.37,220.7273,4349.61,2514.3904,15184.0996,953.7486
2023-10-13,3663.4104,2507.44,220.9734,4327.78,2489.1251,14995.1201,950.0332
2023-10-16,3626.5972,2547.41,221.0668,4373.63,2468.4363,15172.7305,943.6746
2023-10-17,3639.4018,2531.94,220.9611,4373.2,2478.9047,15122.0098,938.9479
2023-10-18,3610.5767,2534.27,220.9017,4314.6,2467.1915,14909.2598,933.7947
2023-10-19,3533.5445,2540.38,220.6774,4278.0,2401.9299,14783.1299,927.0854
2023-10-20,3510.5889,2524.36,220.7375,4224.16,2389.2196,14560.8799,915.876
2023-10-23,3474.2438,2507.31,220.9588,4217.04,2369.9347,14604.8496,902.3291
2023-10-24,3487.1302,2517.85,220.8157,4247.68,2378.4389,14745.85,911.8161
2023-10-25,3504.4576,2523.57,220.9516,4186.77,2386.3026,14381.6396,916.2337
2023-10-26,3514.1448,2533.41,221.0052,4137.23,2393.7344,14109.5703,914.3919
2023-10-27,3562.3851,2544.53,220.9444,4117.37,2414.9125,14180.4199,914.6663
2023-10-30,3583.7718,2556.72,221.046,4166.82,2414.1562,14335.5098,909.8431
2023-10-31,3572.5056,2533.81,221.2386,4193.8,2411.4794,14409.7803,908.9569
2023-11-01,3571.0268,2530.0,221.3008,4237.86,2420.7346,14664.9102,904.9954
2023-11-02,3554.1889,2541.98,221.5865,4317.78,2417.459,14919.5498,902.5472
2023-11-03,3584.1364,2565.38,221.5533,4358.34,2436.9411,15099.4902,903.2999
2023-11-06,3632.6084,2563.91,221.6328,4365.98,2456.7745,15154.9297,902.5885
2023-11-07,3619.7593,2543.52,221.635,4378.38,2443.9657,15296.0195,897.926
2023-11-08,3611.0723,2547.27,221.6774,4382.78,2436.6983,15313.2402,903.5906
2023-11-09,3612.8263,2536.51,221.7792,4347.35,2436.2349,15187.9004,911.0536
2023-11-10,3586.4893,2555.29,221.875,4415.24,2414.0167,15529.1201,909.1425
2023-11-13,3579.4141,2548.73,222.038,4411.55,2407.5885,15482.79,904.905
2023-11-14,3582.0584,2561.94,221.9771,4495.7,2406.3969,15812.4697,904.2152
2023-11-15,3607.2454,2580.55,221.9527,4502.88,2427.1241,15817.1797,901.5735
2023-11-16,3572.3641,2578.8,222.0995,4508.24,2404.3187,15833.1699,898.9622
2023-11-17,3568.0685,2542.63,222.2044,4514.02,2398.2037,15837.9902,895.6335
2023-11-20,3576.3233,2564.37,222.2193,4547.38,2404.7673,16027.0596,892.4905
2023-11-21,3581.0674,2551.71,222.1837,4538.19,2416.241,15933.6201,888.7903
2023-11-22,3544.4162,2561.36,222.0454,4556.62,2396.904,16001.3896,882.5171
2023-11-23,3561.5204,2532.87,221.7699,,2405.1654,,873.8001
2023-11-24,3538.0087,2549.15,221.7744,4559.34,2391.0208,15982.0098,862.3942
2023-11-27,3511.9424,2543.42,221.6619,4550.43,2370.7186,15961.9805,851.0071
2023-11-28,3518.5232,2531.85,221.8088,4554.89,2371.212,16010.4297,847.265
2023-11-29,3488.3073,2535.55,221.8808,4550.58,2358.1163,15987.5996,846.0311
2023-11-30,3496.2028,2556.96,222.0469,4567.8,2365.9963,15947.8701,849.2582
2023-12-01,3482.8813,2538.53,222.0331,4594.63,2352.0003,15997.5801,850.3231
2023-12-04,3460.138,2514.49,222.0267,4569.78,2333.8788,15839.6699,849.7716
2023-12-05,3394.2571,2502.18,222.0255,4567.18,2286.5809,15877.71,846.3485
2023-12-06,3399.598,2514.26,222.0068,4549.34,2284.0636,15788.0498,847.9421
2023-12-07,3391.2823,2517.49,222.062,4585.59,2274.8281,16022.4902,845.8452
2023-12-08,3399.4618,2547.02,222.1591,4604.37,2281.6486,16084.6904,843.3469
