date,nav,return
2020-09-25,2.703,-0.0003698224852072274
2020-09-28,2.712,0.0033296337402886067
2020-09-29,2.717,0.0018436578171090456
2020-09-30,2.722,0.001840264998159702
2020-10-09,2.781,0.02167523879500366
2020-10-12,2.828,0.016900395541172175
2020-10-13,2.853,0.008840169731259007
2020-10-14,2.86,0.002453557658604888
2020-10-15,2.873,0.00454545454545463
2020-10-16,2.853,-0.006961364427427785
2020-10-19,2.833,-0.007010164738871394
2020-10-20,2.863,0.010589481115425237
2020-10-21,2.854,-0.0031435557107928336
2020-10-22,2.847,-0.0024526979677645944
2020-10-23,2.808,-0.013698630136986356
2020-10-26,2.804,-0.0014245014245014564
2020-10-27,2.815,0.003922967189728954
2020-10-28,2.852,0.013143872113676736
2020-10-29,2.901,0.01718092566619922
2020-10-30,2.841,-0.020682523267838593
2020-11-02,2.925,0.029567053854276493
2020-11-03,2.962,0.012649572649572782
2020-11-04,2.991,0.00979068197164068
2020-11-05,3.044,0.017719826145101925
2020-11-06,3.057,0.004270696452036704
2020-11-09,3.084,0.00883218842001976
2020-11-10,3.066,-0.005836575875486472
2020-11-11,3.058,-0.002609262883235486
2020-11-12,3.084,0.008502289077828795
2020-11-13,3.075,-0.0029182879377431803
2020-11-16,3.1,0.008130081300812941
2020-11-17,3.049,-0.016451612903225832
2020-11-18,3.024,-0.008199409642505762
2020-11-19,3.068,0.014550264550264647
2020-11-20,3.074,0.001955671447196883
2020-11-23,3.097,0.007482108002602406
2020-11-24,3.083,-0.00452050371327084
2020-11-25,3.028,-0.01783976646123908
2020-11-26,3.025,-0.0009907529722589237
2020-11-27,3.046,0.006942148760330502
2020-11-30,3.003,-0.014116874589625628
2020-12-01,3.033,0.009990009990009874
2020-12-02,3.051,0.005934718100890191
2020-12-03,3.031,-0.006555227794165841
2020-12-04,3.058,0.008907951171230444
2020-12-07,3.07,0.003924133420536213
2020-12-08,3.071,0.0003257328990229347
2020-12-09,3.023,-0.015630087919244584
2020-12-10,3.029,0.001984783327819928
2020-12-11,3.002,-0.008913832948167721
2020-12-14,3.025,0.007661558960692982
2020-12-15,3.029,0.0013223140495868257
2020-12-16,3.044,0.0049521294156487095
2020-12-17,3.064,0.006570302233902758
2020-12-18,3.068,0.0013054830287206887
2020-12-21,3.093,0.008148631029986975
2020-12-22,3.051,-0.013579049466537318
2020-12-23,3.093,0.013765978367748177
2020-12-24,3.061,-0.01034594245069509
2020-12-25,3.091,0.009800718719372936
2020-12-28,3.085,-0.0019411193788418935
2020-12-29,3.056,-0.009400324149108519
2020-12-30,3.105,0.016034031413612482
2020-12-31,3.17,0.02093397745571668
2021-01-04,3.188,0.005678233438485947
2021-01-05,3.248,0.01882057716436636
2021-01-06,3.238,-0.0030788177339902134
2021-01-07,3.24,0.0006176652254479276
2021-01-08,3.22,-0.006172839506172867
2021-01-11,3.173,-0.014596273291925477
2021-01-12,3.244,0.022376300031516028
2021-01-13,3.207,-0.011405672009864531
2021-01-14,3.196,-0.003429996881820885
2021-01-15,3.221,0.007822277847309156
2021-01-18,3.272,0.01583359205215773
2021-01-19,3.24,-0.009779951100244322
2021-01-20,3.273,0.010185185185185075
2021-01-21,3.338,0.019859456156431365
2021-01-22,3.346,0.002396644697423511
2021-01-25,3.349,0.0008965929468021105
2021-01-26,3.293,-0.01672140937593314
2021-01-27,3.312,0.00576981475857874
2021-01-28,3.217,-0.028683574879227014
2021-01-29,3.2,-0.005284426484302163
2021-02-01,3.2,0.0
2021-02-02,3.273,0.022812499999999902
2021-02-03,3.266,-0.0021387106630003094
2021-02-04,3.284,0.005511328842620955
2021-02-05,3.257,-0.008221680876979165
2021-02-08,3.297,0.012281240405281002
2021-02-09,3.365,0.02062481043372766
2021-02-10,3.419,0.016047548291233227
2021-02-18,3.341,-0.02281368821292773
2021-02-19,3.343,0.0005986231667165498
2021-02-22,3.268,-0.022434938677834304
2021-02-23,3.266,-0.000611995104039087
2021-02-24,3.212,-0.016533986527862754
2021-02-25,3.222,0.0031133250311332628
2021-02-26,3.182,-0.012414649286157653
2021-03-01,3.212,0.009428032683846732
2021-03-02,3.201,-0.003424657534246589
2021-03-03,3.253,0.01624492346141837
2021-03-04,3.178,-0.023055640946818334
2021-03-05,3.205,0.00849590937696676
2021-03-08,3.146,-0.018408736349454058
2021-03-09,3.099,-0.014939605848696691
2021-03-10,3.135,0.011616650532429773
2021-03-11,3.179,0.01403508771929829
