,850531.SL,STIP.P,000300.SH,HSI.HK,SPX.GI,N225.GI,BRN0Y.ICE,CU00.SHF,CBA02001.CB,CBA00603.CB,
,黄金,美国国债0-5年期债券,沪深300,恒生指数,标普500,日经225,布伦特原油连续,沪铜连续,中债企业债总指数(总值)财富指数,中债国债总指数(总值)全价指数,
2020-04-07,7202.87,81.3233,3798.0214,24253.29,2659.4099,18950.18,32.4,40720,194.8855,126.5766,
2020-04-08,7131.07,81.2186,3780.3445,23970.37,2749.98,19353.24,33.64,40840,195.161,126.9411,
2020-04-09,7159.39,81.5891,3792.8105,24300.33,2789.8201,19345.77,32.03,40850,195.3282,126.7217,
2020-04-10,7127.89,--,3769.1782,--,--,19498.5,--,41800,195.3857,126.5294,
2020-04-13,7192.32,81.7341,3753.2566,--,2761.6299,19043.4,31.86,41870,195.4401,126.382,
2020-04-14,7487.58,81.726,3825.6991,24435.4,2846.0601,19638.81,30.09,41840,195.4872,126.4359,
2020-04-15,7449.31,81.6696,3797.3623,24145.34,2783.3601,19550.09,28,41740,195.3934,126.4899,
2020-04-16,7517.57,81.3717,3802.3806,24006.45,2799.55,19290.2,28.5,41630,195.4755,126.5773,
2020-04-17,7261.4,81.2911,3839.4871,24380,2874.5601,19897.26,28.25,42350,195.5536,126.4792,
2020-04-20,7249.71,81.0334,3853.4551,24330.02,2823.1599,19669.12,26.13,42460,195.5823,126.1923,
2020-04-21,7203.77,81.0415,3808.0474,23793.55,2736.5601,19280.78,19.5,41600,195.6357,126.2913,
2020-04-22,7162.76,81.3233,3839.3834,23893.36,2799.3101,19137.95,20.88,41260,195.6546,126.4787,
2020-04-23,7357.59,81.2267,3829.7525,23977.32,2797.8,19429.44,21.63,42070,195.8368,126.7852,
2020-04-24,7418.37,81.3676,3796.9721,23831.33,2836.74,19262,21.8,41890,195.9302,126.9211,
2020-04-26,--,--,--,--,--,--,--,--,195.9986,126.8893,
2020-04-27,7104,81.4039,3822.769,24280.14,2878.48,19783.22,20,42550,196.0176,126.7766,
2020-04-28,7040.55,81.4764,3849.1465,24575.96,2863.3899,19771.19,20.98,42370,196.0242,126.8366,
2020-04-29,7015.69,81.5327,3867.032,24643.59,2939.51,--,22.69,42610,196.0729,127.0158,
2020-04-30,7030.49,81.4361,3912.5772,--,2912.4299,20193.69,25.39,43000,196.1164,126.868,
2020-05-01,--,81.4081,--,--,2830.71,19619.35,26.6,--,--,--,
2020-05-04,--,81.4485,--,23613.8,2842.74,--,27.97,--,--,--,
2020-05-05,--,81.4969,--,23868.66,2868.4399,--,31.98,--,--,--,
2020-05-06,7058.34,81.4969,3936.2539,24137.48,2848.4199,--,29.84,42860,196.2334,126.5193,
2020-05-07,7001.35,81.6787,3924.8946,23980.63,2881.1899,19674.77,29.37,43210,196.1181,126.1776,
2020-05-08,7135.64,81.7069,3963.6217,24230.17,2929.8,20179.09,30.86,43710,195.9675,126.1693,
2020-05-09,--,--,--,--,--,--,--,--,195.9489,126.0586,
2020-05-11,7005.83,81.6908,3960.1803,24602.06,2930.1899,20390.66,30.18,43710,195.7761,125.7249,
2020-05-12,6937.03,81.6665,3960.2378,24245.68,2870.1201,20366.48,29.47,43380,195.672,125.7413,
2020-05-13,6950.86,81.6504,3968.2529,24180.3,2820,20267.05,29.5,43300,195.7261,125.5913,
2020-05-14,6979.03,81.6504,3925.2177,23829.74,2852.5,19914.78,31.45,43070,195.6706,125.6029,
2020-05-15,7132.59,81.719,3912.8159,23797.47,2863.7,20037.47,32.74,43980,195.7244,125.6594,
2020-05-18,7622.08,81.8684,3922.9117,23934.77,2953.9099,20133.73,35.57,43270,195.7752,125.278,
2020-05-19,7328.72,81.9088,3956.2495,24388.13,2922.9399,20433.45,34.55,43780,195.7344,125.1984,
2020-05-20,7472.19,81.925,3935.222,24399.95,2971.6101,20595.15,35.84,43820,195.7365,125.2973,
2020-05-21,7264.31,81.9775,3913.7949,24280.03,2948.51,20552.31,35.95,44190,195.7605,125.2461,
2020-05-22,7157.84,81.9492,3824.064,22930.14,2955.45,20388.16,35.12,43380,195.8614,125.5807,
2020-05-25,7045.38,--,3829.3245,22952.24,--,20741.65,35.58,43720,195.9248,125.0553,
2020-05-26,7163.67,81.9654,3872.7701,23384.66,2991.77,21271.17,36.03,43930,195.7828,124.6627,
2020-05-27,7000.49,81.9654,3845.6135,23301.36,3036.1299,21419.23,34.27,43740,195.6892,124.4417,
2020-05-28,7155.22,82.0542,3856.6324,23132.76,3029.73,21916.31,35.4,43810,195.6284,124.5435,
2020-05-29,7122.14,82.135,3867.0232,22961.47,3044.3101,21877.89,35.31,44070,195.6217,124.6258,
2020-06-01,7279.22,82.1511,3971.3402,23732.52,3055.73,22062.39,38.61,44780,195.6327,124.5381,
2020-06-02,7205.26,82.1673,3983.5677,23995.94,3080.8201,22325.61,39.58,44710,195.3426,123.9589,
2020-06-03,7170.3,82.135,3983.6477,24325.62,3122.8701,22613.76,39.45,44930,194.8935,123.6752,
2020-06-04,7042.34,82.1471,3982.1851,24366.3,3112.3501,22695.74,39.89,44840,194.714,123.397,
2020-06-05,7005.97,82.2601,4001.2509,24770.41,3193.9299,22863.73,42.07,45320,194.3251,123.1935,
2020-06-08,7157.66,82.3207,4021.9549,24776.77,3232.3899,23178.1,40.8,45920,194.263,123.263,
