指标名称,期货收盘价(连一):铜,期货收盘价(连续):螺纹钢,期货收盘价(连续):豆粕,期货收盘价(连续):精对苯二甲酸(PTA),期货收盘价(连续):白糖
频率,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,元/吨
2010/8/13,"57,350.00","4,095.00","3,059.00","7,200.00","5,360.00"
2010/8/16,"57,370.00","4,094.00","3,155.00","7,436.00","5,380.00"
2010/8/17,"57,750.00","4,139.00","3,122.00","7,432.00","5,382.00"
2010/8/18,"58,050.00","4,146.00","3,102.00","7,414.00","5,370.00"
2010/8/19,"58,280.00","4,170.00","3,100.00","7,478.00","5,375.00"
2010/8/20,"57,130.00","4,150.00","3,090.00","7,340.00","5,327.00"
2010/8/23,"57,310.00","4,120.00","3,105.00","7,258.00","5,321.00"
2010/8/24,"57,120.00","4,116.00","3,100.00","7,218.00","5,300.00"
2010/8/25,"56,870.00","4,100.00","3,089.00","7,288.00","5,327.00"
2010/8/26,"57,400.00","4,115.00","3,110.00","7,340.00","5,319.00"
2010/8/27,"57,850.00","4,134.00","3,134.00","7,346.00","5,334.00"
2010/8/30,"59,350.00","4,150.00","3,125.00","7,382.00","5,437.00"
2010/8/31,"58,450.00","4,193.00","3,138.00","7,270.00","5,456.00"
2010/9/1,"59,470.00","4,220.00","3,098.00","7,318.00","5,468.00"
2010/9/2,"59,930.00","4,248.00","3,150.00","7,380.00","5,489.00"
2010/9/3,"59,900.00","4,250.00","3,150.00","7,350.00","5,462.00"
2010/9/6,"60,440.00","4,462.00","3,250.00","7,384.00","5,488.00"
2010/9/7,"59,640.00","4,470.00","3,280.00","7,404.00","5,496.00"
2010/9/8,"59,800.00","4,445.00","3,320.00","7,410.00","5,490.00"
2010/9/9,"58,580.00","4,381.00","3,330.00","7,396.00","5,492.00"
2010/9/10,"58,890.00","4,450.00","3,330.00","7,430.00","5,547.00"
2010/9/13,"59,450.00","4,450.00","3,330.00","7,418.00","5,573.00"
2010/9/14,"59,060.00","4,450.00","3,131.00","7,420.00","5,589.00"
2010/9/15,"59,190.00","4,440.00","3,185.00","7,676.00","5,685.00"
2010/9/16,"59,100.00","4,358.00","3,215.00","7,620.00","5,700.00"
2010/9/17,"60,000.00","4,360.00","3,239.00","7,640.00","5,744.00"
2010/9/20,"60,210.00","4,367.00","3,367.00","7,768.00","5,763.00"
2010/9/21,"59,800.00","4,301.00","3,400.00","7,722.00","5,707.00"
2010/9/27,"60,580.00","4,240.00","3,505.00","8,020.00","5,717.00"
2010/9/28,"60,400.00","4,190.00","3,500.00","7,990.00","5,739.00"
2010/9/29,"60,760.00","4,171.00","3,428.00","7,960.00","5,700.00"
2010/9/30,"60,570.00","4,180.00","3,500.00","7,966.00","5,710.00"
2010/10/8,"60,600.00","4,250.00","3,386.00","8,160.00","5,745.00"
2010/10/11,"62,900.00","4,345.00","3,551.00","8,458.00","5,940.00"
2010/10/12,"62,100.00","4,273.00","3,500.00","8,442.00","5,918.00"
2010/10/13,"62,660.00","4,301.00","3,524.00","8,486.00","5,940.00"
2010/10/14,"63,510.00","4,283.00","3,580.00","8,606.00","6,072.00"
2010/10/15,"63,410.00","4,330.00","3,530.00","8,592.00","6,166.00"
2010/10/18,"62,780.00","4,322.00","3,500.00","8,482.00","6,133.00"
2010/10/19,"63,270.00","4,360.00","3,505.00","8,444.00","6,243.00"
2010/10/20,"62,530.00","4,298.00","3,495.00","8,334.00","6,249.00"
2010/10/21,"62,500.00","4,298.00","3,499.00","8,370.00","6,420.00"
2010/10/22,"62,790.00","4,295.00","3,500.00","8,460.00","6,593.00"
2010/10/25,"64,460.00","4,300.00","3,495.00","8,582.00","6,825.00"
2010/10/26,"64,400.00","4,300.00","3,480.00","8,534.00","7,202.00"
2010/10/27,"63,970.00","4,319.00","3,420.00","8,508.00","7,110.00"
2010/10/28,"63,660.00","4,318.00","3,400.00","8,562.00","7,500.00"
2010/10/29,"62,460.00","4,265.00","3,350.00","8,546.00","7,200.00"
2010/11/1,"63,650.00","4,265.00","3,376.00","8,638.00","7,200.00"
2010/11/2,"63,250.00","4,361.00","3,376.00","8,620.00","7,270.00"
2010/11/3,"63,760.00","4,390.00","3,376.00","8,740.00","7,265.00"
2010/11/4,"64,250.00","4,500.00","3,376.00","9,096.00",#N/A
2010/11/5,"66,620.00","4,590.00","3,376.00","9,148.00","7,245.00"
2010/11/8,"65,960.00","4,570.00","3,376.00","9,698.00","7,236.00"
2010/11/9,"67,240.00","4,730.00","3,376.00","10,280.00","7,329.00"
2010/11/10,"66,810.00","4,650.00","3,376.00","10,280.00","7,336.00"
2010/11/11,"68,470.00","4,650.00","3,376.00","10,400.00","7,200.00"
2010/11/12,"65,110.00","4,545.00","3,376.00","10,006.00","7,250.00"
2010/11/15,"64,600.00","4,680.00","3,500.00","9,446.00","6,240.00"
2010/11/16,"64,220.00","4,570.00","3,440.00","9,810.00","6,316.00"
2010/11/17,"61,320.00","4,500.00","3,312.00","9,396.00","6,141.00"
2010/11/18,"62,700.00","4,580.00","3,350.00","9,650.00","6,245.00"
2010/11/19,"63,970.00","4,622.00","3,350.00","9,518.00","6,330.00"
2010/11/22,"63,320.00","4,631.00","3,300.00","9,708.00","6,164.00"
2010/11/23,"61,450.00","4,630.00","3,229.00","9,462.00","6,173.00"
2010/11/24,"62,550.00","4,750.00","3,199.00","9,478.00","6,350.00"
2010/11/25,"62,100.00","4,691.00","3,199.00","9,466.00","6,297.00"
2010/11/26,"61,780.00","4,715.00","3,199.00","9,150.00","6,270.00"
2010/11/29,"62,250.00","4,718.00","3,120.00","9,180.00","6,347.00"
2010/11/30,"62,500.00","4,800.00","3,100.00","9,090.00","6,399.00"
2010/12/1,"63,340.00","4,750.00","3,117.00","9,100.00","6,550.00"
2010/12/2,"65,010.00","4,751.00","3,117.00","9,218.00","6,504.00"
2010/12/3,"65,300.00","4,760.00","3,117.00","9,278.00","6,514.00"
2010/12/6,"65,030.00","4,780.00","3,117.00","9,342.00","6,522.00"
2010/12/7,"66,280.00","4,800.00","3,117.00","9,362.00","6,540.00"
2010/12/8,"65,010.00","4,829.00","3,117.00","9,292.00","6,372.00"
2010/12/9,"66,760.00","4,850.00","3,117.00","9,300.00","6,413.00"
2010/12/10,"67,400.00","4,850.00","3,117.00","9,344.00","6,436.00"
2010/12/13,"68,100.00","4,840.00","3,117.00","9,512.00","6,549.00"
2010/12/14,"67,940.00","4,870.00","3,117.00","9,478.00","6,556.00"
2010/12/15,"67,400.00","4,830.00","3,235.00","9,460.00","6,473.00"
2010/12/16,"66,930.00","4,763.00","3,244.00","9,484.00","6,540.00"
2010/12/17,"68,040.00","4,779.00","3,214.00","9,516.00","6,607.00"
2010/12/20,"68,180.00","4,800.00","3,230.00","9,554.00","6,734.00"
2010/12/21,"68,750.00","4,830.00","3,240.00","9,720.00","6,762.00"
2010/12/22,"68,320.00","4,838.00","3,247.00","9,632.00","6,801.00"
2010/12/23,"68,270.00","4,836.00","3,255.00","9,722.00","6,861.00"
2010/12/24,"68,530.00","4,836.00","3,287.00","9,930.00","6,990.00"
2010/12/27,"68,320.00","4,835.00","3,280.00","10,044.00","6,999.00"
2010/12/28,"68,650.00","4,842.00","3,330.00","9,884.00","7,070.00"
2010/12/29,"68,970.00","4,856.00","3,315.00","9,906.00","7,023.00"
2010/12/30,"70,320.00","4,875.00","3,350.00","9,940.00","7,068.00"
2010/12/31,"71,460.00","5,130.00","3,338.00","9,926.00","6,970.00"
2011/1/4,"71,560.00","4,939.00","3,350.00","10,172.00","6,991.00"
2011/1/5,"70,500.00","4,914.00","3,310.00","10,164.00","6,964.00"
2011/1/6,"71,360.00","4,944.00","3,335.00","10,370.00","6,956.00"
2011/1/7,"69,480.00","4,933.00","3,320.00","10,134.00","6,760.00"
2011/1/10,"69,690.00","4,930.00","3,330.00","10,142.00","6,847.00"
2011/1/11,"70,390.00","4,919.00","3,330.00","10,180.00","6,880.00"
2011/1/12,"70,750.00","4,959.00","3,330.00","10,394.00","6,912.00"
2011/1/13,"71,000.00","4,890.00","3,330.00","10,530.00","6,975.00"
2011/1/14,"70,650.00","4,909.00","3,330.00","10,540.00","7,075.00"
2011/1/17,"70,600.00","4,875.00","3,330.00","10,650.00","6,931.00"
2011/1/18,"71,520.00","4,945.00","3,480.00","10,740.00","6,999.00"
2011/1/19,"72,320.00","4,946.00","3,480.00","10,904.00","7,075.00"
2011/1/20,"71,220.00","4,960.00","3,459.00","10,682.00","7,028.00"
2011/1/21,"70,650.00","5,017.00","3,456.00","10,774.00","7,093.00"
2011/1/24,"71,300.00","5,012.00","3,490.00","11,392.00","7,096.00"
2011/1/25,"70,560.00","5,035.00","3,446.00","11,330.00","7,055.00"
2011/1/26,"70,480.00","5,005.00","3,356.00","11,344.00","7,090.00"
2011/1/27,"71,300.00","4,986.00","3,371.00","11,360.00","7,210.00"
2011/1/28,"71,140.00","5,150.00","3,414.00","11,310.00","7,188.00"
2011/1/31,"72,970.00","5,107.00","3,425.00","11,608.00","7,290.00"
2011/2/1,"74,440.00","5,171.00","3,464.00","11,730.00","7,340.00"
2011/2/9,"74,600.00","5,171.00","3,500.00","11,718.00","7,288.00"
2011/2/10,"75,000.00","5,090.00","3,499.00","11,936.00","7,422.00"
2011/2/11,"74,450.00","5,090.00","3,495.00","11,942.00","7,433.00"
2011/2/14,"75,050.00","5,090.00","3,615.00","11,668.00","7,365.00"
2011/2/15,"75,180.00","5,090.00","3,490.00","12,108.00","7,384.00"
2011/2/16,"75,030.00","5,072.00","3,477.00","11,874.00","7,320.00"
2011/2/17,"74,160.00","5,095.00","3,440.00","11,780.00","7,285.00"
2011/2/18,"73,400.00","5,070.00","3,521.00","11,600.00","7,218.00"
2011/2/21,"74,150.00","5,040.00","3,520.00","11,530.00","7,165.00"
2011/2/22,"73,180.00","5,043.00","3,409.00","11,500.00","7,180.00"
2011/2/23,"71,400.00","4,970.00","3,240.00","10,992.00","7,228.00"
2011/2/24,"71,230.00","4,964.00","3,250.00","11,356.00","7,070.00"
2011/2/25,"72,390.00","4,993.00","3,260.00","11,250.00","7,199.00"
2011/2/28,"73,800.00","5,040.00","3,222.00","11,650.00","7,221.00"
2011/3/1,"73,600.00","4,950.00","3,269.00","11,730.00","7,240.00"
2011/3/2,"74,160.00","4,930.00","3,349.00","11,800.00",#N/A
2011/3/3,"73,700.00","4,930.00","3,349.00","11,640.00",#N/A
2011/3/4,"74,250.00","4,930.00","3,349.00","11,630.00","7,201.00"
2011/3/7,"73,700.00","4,680.00","3,380.00","11,730.00","7,240.00"
2011/3/8,"70,780.00","4,680.00","3,380.00","11,440.00","7,190.00"
2011/3/9,"71,470.00","4,690.00","3,440.00","11,576.00","7,200.00"
2011/3/10,"69,090.00","4,690.00","3,440.00","11,470.00","7,203.00"
2011/3/11,"69,100.00","4,500.00","3,440.00","11,358.00","7,199.00"
2011/3/14,"69,180.00","4,500.00","3,440.00","11,330.00","7,012.00"
2011/3/15,"68,730.00","4,500.00","3,182.00","11,500.00","6,980.00"
2011/3/16,"70,470.00","4,758.00","3,115.00","11,484.00","6,975.00"
2011/3/17,"69,830.00","4,780.00","3,130.00","11,538.00","6,988.00"
2011/3/18,"71,660.00","4,730.00","3,146.00","11,680.00","7,056.00"
2011/3/21,"71,380.00","4,670.00","3,160.00","11,584.00","7,051.00"
2011/3/22,"71,200.00","4,670.00","3,157.00","11,640.00","7,092.00"
2011/3/23,"71,780.00","4,678.00","3,181.00","11,654.00","7,213.00"
2011/3/24,"72,200.00","4,749.00","3,177.00","11,616.00","7,182.00"
2011/3/25,"72,200.00","4,683.00","3,170.00","11,566.00","7,230.00"
2011/3/28,"71,000.00","4,693.00","3,151.00","11,406.00","7,136.00"
2011/3/29,"70,830.00","4,659.00","3,138.00","11,500.00","7,125.00"
2011/3/30,"71,200.00","4,719.00","3,149.00","11,480.00","7,084.00"
2011/3/31,"70,660.00","4,750.00","3,161.00","11,428.00","7,133.00"
2011/4/1,"70,490.00","4,700.00","3,186.00","11,150.00","7,157.00"
2011/4/6,"71,500.00","4,750.00","3,146.00","10,992.00","7,225.00"
