,000300.SH,NHCI.SL,000905.SH,CBA00601.CB,CBA02001.CB,BRN0Y.ICE
,沪深300,南华商品,中证500,中债国债总指数(总值)财富指数,中债企业债总指数(总值)财富指数,布伦特原油连续
2023/7/20,3823.6946,2422.22,5925.4843,220.517,225.6278,79.64
2023/7/21,3821.91,2421.18,5925.6255,220.7369,225.7214,80.86
2023/7/24,3805.221,2407.8,5916.7141,221.0138,225.8404,82.78
2023/7/25,3915.1153,2438.56,6016.6312,220.2843,225.6861,83.41
2023/7/26,3907.0128,2459.4,6001.5402,220.4577,225.6887,83.03
2023/7/27,3902.3458,2451.43,5961.1843,220.6835,225.7681,83.86
2023/7/28,3992.7376,2447.58,6043.2438,220.5988,225.7701,84.75
2023/7/31,4014.6301,2446.8,6088.2431,220.4894,225.7486,85.56
2023/8/1,3998.001,2472.67,6098.8789,220.5769,225.7918,85.78
2023/8/2,3969.895,2467.22,6077.4645,220.6946,225.8495,83.35
2023/8/3,4004.9839,2410.78,6098.6868,220.8429,225.9369,85.19
2023/8/4,4020.5792,2431.76,6128.556,220.8755,226.0446,86
2023/8/7,3990.1531,2425.23,6090.7307,220.9602,226.1438,85.86
2023/8/8,3979.7322,2408.16,6066.1019,221.0012,226.2391,86.15
2023/8/9,3967.5652,2426.52,6021.7506,221.025,226.311,87.41
2023/8/10,3975.7166,2422.46,6031.7105,220.9902,226.3848,86.35
2023/8/11,3884.2538,2433.66,5913.3502,221.0526,226.4735,86.58
2023/8/14,3855.9061,2415.31,5916.8029,221.3219,226.6329,86.21
2023/8/15,3846.5357,2446.84,5879.7782,221.7417,226.7713,85.06
2023/8/16,3818.3338,2426.12,5833.2155,221.9035,226.8838,83.32
2023/8/17,3831.1008,2451.57,5874.3609,221.8951,226.9285,83.9
2023/8/18,3784.0038,2458.51,5777.7972,222.0066,226.9885,84.86
2023/8/21,3729.555,2491.38,5710.7783,222.4629,227.1409,84.56
2023/8/22,3758.2271,2502.22,5741.0606,222.4408,227.2275,83.86
2023/8/23,3696.6339,2506.98,5629.4999,222.4835,227.2846,83.02
2023/8/24,3723.4293,2501.66,5652.6729,222.5206,227.3365,83.21
2023/8/25,3709.1517,2526.93,5581.2116,222.4165,227.4052,84.79
2023/8/28,3752.6194,2514.1,5644.1405,222.2144,227.388,84.35
2023/8/29,3790.1067,2506.62,5770.3155,222.1176,227.3613,85.48
2023/8/30,3788.5097,2542.85,5775.1534,222.174,227.3804,85.94
2023/8/31,3765.2678,2551.16,5739.3984,222.2737,227.4251,86.83
2023/9/1,3791.4912,2587.72,5750.8027,222.0066,227.4228,88.94
2023/9/4,3848.9517,2576.88,5829.784,221.5234,227.3278,89
2023/9/5,3820.3174,2582.68,5788.7149,221.4663,227.3315,90.05
2023/9/6,3812.0283,2600.19,5790.3806,221.1694,227.231,90.62
2023/9/7,3758.4748,2582.94,5702.7008,221.0072,226.9976,89.76
2023/9/8,3739.9927,2555.88,5708.6227,221.0019,226.7673,90.44
2023/9/11,3767.537,2579.61,5774.7305,220.9775,226.6159,90.64
