trade_date,沪深300,中证500,中证1000,上证指数
2019-07-04,3873.1019,5025.0207,5404.3836,3005.2488
2019-07-05,3893.2025,5042.6599,5424.2503,3011.0588
2019-07-08,3802.7897,4870.7807,5244.2661,2933.3634
2019-07-09,3793.1297,4881.6235,5260.3435,2928.2295
2019-07-10,3786.739,4843.8649,5214.6441,2915.3022
2019-07-11,3785.221,4844.5474,5206.3985,2917.7609
2019-07-12,3808.7311,4861.5679,5219.1888,2930.5462
2019-07-15,3824.1878,4925.3243,5273.8148,2942.1853
2019-07-16,3806.8449,4932.0458,5285.229,2937.6168
2019-07-17,3804.6384,4929.085,5289.4244,2931.6926
2019-07-18,3768.4019,4844.1087,5194.6017,2901.1766
2019-07-19,3807.9551,4878.6903,5220.0273,2924.2006
2019-07-22,3781.6832,4776.5749,5073.3332,2886.974
2019-07-23,3789.9135,4823.9182,5131.0973,2899.9446
2019-07-24,3819.8325,4873.0271,5194.829,2923.2775
2019-07-25,3851.0665,4891.6432,5211.0858,2937.3601
2019-07-26,3858.5688,4898.1099,5216.6018,2944.541
2019-07-29,3854.2704,4897.0183,5218.9831,2941.007
2019-07-30,3870.3176,4922.9175,5239.7181,2952.3383
2019-07-31,3835.3589,4903.203,5200.0945,2932.5058
2019-08-01,3803.4694,4870.469,5173.2289,2908.766
2019-08-02,3747.4379,4809.9198,5091.0633,2867.8376
2019-08-05,3675.6884,4751.9846,5032.6422,2821.4957
2019-08-06,3636.3289,4650.5627,4899.8161,2777.5559
2019-08-07,3621.431,4626.3641,4885.4401,2768.6795
2019-08-08,3669.2936,4656.1009,4923.3268,2794.5523
2019-08-09,3633.5296,4600.3526,4869.7924,2774.7532
2019-08-12,3699.1047,4685.045,4952.2171,2814.9944
2019-08-13,3665.7515,4658.3884,4928.4648,2797.2596
2019-08-14,3682.4015,4683.8403,4961.7505,2808.9146
2019-08-15,3694.0006,4706.5504,4985.4213,2815.7976
2019-08-16,3710.5386,4722.6625,5013.5824,2823.8238
2019-08-19,3791.0946,4875.0363,5173.1766,2883.096
2019-08-20,3787.7324,4872.6061,5185.2652,2880.0012
2019-08-21,3781.7579,4882.7213,5186.6218,2880.3307
2019-08-22,3793.5061,4887.9142,5208.552,2883.4358
2019-08-23,3820.8638,4887.9024,5197.5481,2897.4253
2019-08-26,3765.9105,4855.4584,5168.6795,2863.5673
2019-08-27,3816.9459,4936.1238,5266.6579,2902.1932
2019-08-28,3802.5844,4928.1935,5256.1774,2893.7564
2019-08-29,3790.1867,4934.1838,5260.9496,2890.9192
2019-08-30,3799.5863,4886.494,5182.9555,2886.2365
2019-09-02,3848.3198,5008.2958,5317.5333,2924.1063
2019-09-03,3853.6106,5044.1805,5357.0603,2930.1538
2019-09-04,3886.0012,5093.2662,5394.7063,2957.4116
2019-09-05,3925.323,5138.4051,5445.5743,2985.8648
2019-09-06,3948.5075,5154.6378,5468.4591,2999.6013
2019-09-09,3972.9484,5263.4594,5602.2416,3024.7388
2019-09-10,3959.265,5245.305,5614.5756,3021.2024
2019-09-11,3930.0999,5217.2913,5566.4083,3008.8118
2019-09-12,3972.3799,5242.6115,5592.9216,3031.2351
2019-09-16,3957.7154,5250.3398,5627.2352,3030.7544
2019-09-17,3891.2208,5140.4502,5492.2224,2978.1178
2019-09-18,3910.0837,5141.0381,5485.8788,2985.6586
2019-09-19,3924.3823,5191.6687,5550.4072,2999.2789
2019-09-20,3935.6511,5204.4848,5556.4776,3006.4467
2019-09-23,3890.6616,5171.484,5501.2148,2977.0767
2019-09-24,3901.0758,5180.7418,5528.8929,2985.3406
2019-09-25,3870.9837,5087.0091,5421.6247,2955.4325
2019-09-26,3841.1388,4970.2403,5244.0766,2929.0875
2019-09-27,3852.6534,5005.6299,5291.4359,2932.167
2019-09-30,3814.5282,4940.903,5232.3865,2905.1892
2019-10-08,3837.6791,4941.7607,5237.1816,2913.5704
2019-10-09,3843.2392,4982.9535,5285.1493,2924.8566
2019-10-10,3874.6391,5046.3594,5366.9254,2947.7106
2019-10-11,3911.7253,5055.5165,5370.6541,2973.6558
2019-10-14,3953.2411,5131.1312,5455.6064,3007.8834
2019-10-15,3936.2498,5061.0029,5375.5288,2991.0459
2019-10-16,3922.6854,5038.356,5353.0154,2978.7124
2019-10-17,3925.2216,5029.854,5347.2673,2977.3342
2019-10-18,3869.3777,4961.8072,5280.5324,2938.1413
2019-10-21,3880.8398,4951.0354,5247.2982,2939.6179
2019-10-22,3895.8809,5005.5525,5312.4584,2954.3799
2019-10-23,3871.0848,4967.1949,5269.7225,2941.6188
2019-10-24,3870.6678,4958.2465,5259.4545,2940.9215
2019-10-25,3896.7923,4994.5684,5300.0943,2954.9327
2019-10-28,3926.585,5084.4677,5425.7542,2980.0498
2019-10-29,3910.226,5007.7126,5366.7544,2954.176
2019-10-30,3891.2255,4947.8954,5313.4166,2939.3209
2019-10-31,3886.7519,4917.4174,5253.8811,2929.0561
2019-11-01,3952.3872,4962.3495,5303.9905,2958.1992
2019-11-04,3978.1216,4987.8364,5337.0832,2975.4919
2019-11-05,4002.8128,5025.3029,5352.061,2991.5622
2019-11-06,3984.8816,4974.7343,5304.8381,2978.5955
2019-11-07,3991.8749,5007.0666,5340.1711,2978.7144
2019-11-08,3973.0107,4988.2938,5321.7779,2964.1849
2019-11-11,3902.9783,4876.1594,5183.5711,2909.9746
2019-11-12,3903.6888,4881.6144,5196.7152,2914.8232
2019-11-13,3899.9815,4875.543,5181.4922,2905.2409
2019-11-14,3905.857,4912.1075,5216.6437,2909.8697
2019-11-15,3877.0892,4868.4367,5152.5637,2891.3431
2019-11-18,3907.9291,4892.4609,5189.3522,2909.2002
2019-11-19,3947.0392,4975.1128,5286.1488,2933.9908
2019-11-20,3907.8641,4946.2757,5259.4697,2911.0534
2019-11-21,3889.598,4945.7188,5250.665,2903.6379
2019-11-22,3849.9948,4904.0828,5181.1093,2885.2884
2019-11-25,3878.2061,4901.5021,5151.3684,2906.1688
2019-11-26,3891.6533,4882.1624,5147.7282,2907.0602
2019-11-27,3875.6186,4904.2568,5145.967,2903.1947
2019-11-28,3862.3029,4889.2595,5131.1284,2889.6934
2019-11-29,3828.6706,4894.9416,5126.6146,2871.9813
2019-12-02,3836.0589,4905.4209,5137.7835,2875.8072
2019-12-03,3851.0873,4926.4548,5171.3562,2884.6988
2019-12-04,3849.819,4920.6682,5179.6944,2878.1157
2019-12-05,3879.3638,4967.6021,5238.1302,2899.4685
2019-12-06,3902.3853,5010.5104,5275.5098,2912.0136
2019-12-09,3895.4468,5024.604,5294.2815,2914.4775
2019-12-10,3900.3843,5049.0514,5326.3609,2917.3157
2019-12-11,3902.7492,5027.2784,5304.8817,2924.4173
2019-12-12,3891.0242,5012.0011,5304.4232,2915.6983
2019-12-13,3968.2211,5073.6858,5375.9765,2967.6764
2019-12-16,3987.5464,5166.0391,5476.9884,2984.3925
2019-12-17,4041.7996,5236.0624,5545.6182,3022.4219
2019-12-18,4032.7826,5235.1248,5543.787,3017.0444
2019-12-19,4027.1495,5241.7376,5568.113,3017.0658
2019-12-20,4017.2527,5184.6752,5501.1575,3004.9376
2019-12-23,3967.0962,5084.3505,5377.0867,2962.7513
2019-12-24,3992.9581,5162.0702,5471.7354,2982.6806
2019-12-25,3990.8671,5183.0986,5504.4168,2981.8805
2019-12-26,4025.9879,5219.1404,5543.6643,3007.3546
2019-12-27,4022.0278,5179.1929,5498.9254,3005.0355
2019-12-30,4081.6334,5241.9383,5529.9961,3040.0239
2019-12-31,4096.5821,5267.6622,5567.033,3050.124
2020-01-02,4152.2408,5366.1375,5676.5579,3085.1976
2020-01-03,4144.9649,5380.6372,5706.0438,3083.7858
2020-01-06,4129.2954,5434.8503,5764.7334,3083.4083
2020-01-07,4160.2274,5499.8395,5852.3609,3104.8015
2020-01-08,4112.3172,5423.7966,5772.4742,3066.8925
2020-01-09,4164.3697,5497.5429,5864.1821,3094.8819
2020-01-10,4163.1849,5480.2279,5851.8928,3092.2907
2020-01-13,4203.9883,5559.6272,5926.7222,3115.5696
2020-01-14,4189.8862,5542.3316,5914.1131,3106.8204
2020-01-15,4166.7344,5530.0266,5913.518,3090.0379
2020-01-16,4149.0434,5527.6676,5902.1318,3074.0814
