ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000159.SZ,20150105,93996,10016.46,101421,10818.39,86084,9163.54,81506,8688.47,42978,4588.65,40385,4289.33,4831,521.0,4577,493.46,12755,1360.36
000301.SZ,20150105,182595,9463.84,183749,9531.8,140685,7296.31,145488,7548.38,62536,3247.01,54335,2814.34,4891,254.92,7134,367.56,-7894,-403.4
000333.SZ,20150105,143889,42472.3,174947,51569.58,259233,76502.61,298876,88123.55,291309,85660.4,312302,91947.31,279646,82274.79,187951,55269.65,139615,41249.69
000338.SZ,20150105,141508,40720.15,156878,45138.82,221194,63589.75,236558,68017.24,219373,62993.55,214049,61478.3,122878,35365.47,97468,28034.56,73694,21334.85
000400.SZ,20150105,78865,16102.26,72010,14733.9,95555,19458.64,93851,19162.37,69678,14233.64,81661,16670.36,27156,5597.61,23732,4825.53,2846,679.77
000401.SZ,20150105,67034,8882.0,68056,9022.69,73804,9782.78,84182,11161.84,66542,8809.65,59886,7934.99,29058,3866.88,24315,3221.8,30035,4025.13
000402.SZ,20150105,448697,56457.59,376993,47543.5,561282,70742.04,497468,62774.96,481511,60844.72,530246,66993.28,322603,40965.52,409386,51698.13,-55460,-6613.41
000403.SZ,20150105,9651,1682.96,5542,967.59,15058,2622.21,11928,2079.9,6129,1068.13,11808,2056.23,0,0.0,1558,269.58,-3539,-621.67
000404.SZ,20150105,140427,11465.98,144308,11786.77,148823,12157.23,153862,12571.31,69896,5708.12,67563,5521.1,13949,1146.18,7363,598.31,4269,350.84
000407.SZ,20150105,37038,2294.78,39950,2488.41,43607,2709.3,43995,2737.52,29333,1833.4,32774,2032.55,8924,558.54,2183,137.53,22461,1412.01
000408.SZ,20150105,67104,6858.5,74127,7588.17,66450,6787.34,71436,7310.26,52850,5412.33,34080,3481.33,8328,863.6,15090,1542.01,-5520,-547.72
000409.SZ,20150105,24754,2581.48,28127,2936.51,34908,3641.03,32541,3391.63,23292,2437.15,23112,2416.96,5497,573.89,4671,488.46,12149,1265.15
000410.SZ,20150105,204850,25895.88,205401,26107.4,223853,28301.52,221987,28176.32,146322,18611.26,160858,20335.84,82250,10625.71,69029,8814.79,-15819,-1779.52
000415.SZ,20150105,55640,7409.5,43967,5859.66,86916,11584.57,77448,10330.24,86368,11507.42,70912,9464.04,35733,4719.41,72330,9566.95,-41819,-5536.59
000416.SZ,20150105,17005,1414.66,20306,1691.39,38053,3168.11,32790,2731.39,31304,2612.54,25582,2131.13,2000,166.0,9684,807.4,22600,1887.83
000417.SZ,20150105,93649,8007.52,105207,9021.83,151076,12921.58,156093,13409.71,113456,9758.12,108874,9313.63,26235,2245.1,14241,1187.15,40098,3552.39
000418.SZ,20150105,64030,8832.03,74761,10322.93,68018,9391.06,73053,10091.63,45975,6351.08,36548,5044.71,12732,1771.5,6393,886.4,19070,2633.29
000419.SZ,20150105,32129,2213.48,33164,2285.58,33021,2276.96,32673,2252.05,14698,1012.32,14049,967.73,38,2.6,0,0.0,3949,275.14
000420.SZ,20150105,26000,1336.59,21433,1101.67,20985,1078.5,18334,942.55,5233,269.34,12452,640.2,0,0.0,0,0.0,-85,-2.88
000421.SZ,20150105,22225,1588.31,23730,1697.53,19084,1363.42,18477,1320.15,9089,649.89,8191,583.94,0,0.0,0,0.0,2284,163.4
000422.SZ,20150105,116035,8993.71,140095,10865.76,134837,10421.89,149739,11585.31,178122,13768.1,155174,11961.75,82740,6396.88,66725,5167.75,63894,4988.56
000423.SZ,20150105,68140,26213.13,79879,30735.08,74364,28543.92,93388,35859.65,77830,29887.44,78420,30086.82,63122,24213.52,31769,12176.46,52248,20135.43
000425.SZ,20150105,281439,41641.23,251642,37293.43,302342,44728.99,275173,40755.74,202143,29898.81,215274,31842.35,87068,12918.2,130903,19295.72,-2744,-226.03
