date,石油石化ROE_TTM,煤炭ROE_TTM,有色金属ROE_TTM,电力及公用事业ROE_TTM,钢铁ROE_TTM,基础化工ROE_TTM,建筑ROE_TTM,建材ROE_TTM,轻工制造ROE_TTM,机械ROE_TTM,电力设备及新能源ROE_TTM,国防军工ROE_TTM,汽车ROE_TTM,商贸零售ROE_TTM,消费者服务ROE_TTM,家电ROE_TTM,纺织服装ROE_TTM,医药ROE_TTM,食品饮料ROE_TTM,农林牧渔ROE_TTM,银行ROE_TTM,非银行金融ROE_TTM,房地产ROE_TTM,交通运输ROE_TTM,电子ROE_TTM,通信ROE_TTM,计算机ROE_TTM,传媒ROE_TTM,综合ROE_TTM,综合金融ROE_TTM
2011/11/30,14.77642071,18.07533105,11.99143738,6.938253576,5.50680885,10.07318169,11.97586,17.5190497,6.157284677,13.01156533,9.472070714,4.884888716,15.1606936,15.05323911,11.52985235,15.44539319,13.37382714,12.66943449,20.74089073,8.968147106,19.89071296,12.51812964,13.3044731,10.8148786,6.222362864,5.81075492,9.305528984,9.841144353,10.77105445,0
2011/12/30,14.77642071,18.07533105,11.99143738,6.938253576,5.50680885,10.10304356,11.97586,17.55076854,6.157284677,13.03205087,9.472070714,4.884888716,15.1606936,15.05323911,11.52985235,15.44539319,13.42766986,12.66943449,20.74089073,8.968147106,19.89071296,12.51812964,13.3044731,10.8148786,6.222362864,5.81075492,9.350341759,9.841144353,10.77105445,0
2012/1/31,13.56223522,17.98984583,10.85822081,7.181076106,3.741417137,8.707303514,12.16804813,15.47876974,4.791868478,12.98541634,7.41150483,4.975739438,13.96301192,12.56434637,11.52726547,15.35500651,10.19063154,12.11630876,20.73215839,8.891071233,19.57672185,9.892282605,13.13296973,8.312555298,8.079301907,5.470948265,9.25855599,9.336610708,10.27205703,0
2012/2/29,13.57587699,17.98984583,10.85822081,7.181076106,3.729921534,8.718144461,12.16149824,15.47876974,4.791868478,13.0247258,7.449344212,4.975739438,13.96301192,12.56434637,11.52726547,15.3743255,10.25047375,12.19117147,20.62621515,8.891071233,19.57672185,9.892282605,13.13296973,8.312555298,8.082665041,5.470948265,9.275760628,9.499503374,10.27205703,0
2012/3/30,13.57587699,17.98984583,10.85822081,7.181076106,3.729921534,8.718144461,12.17614158,15.47876974,5.314814952,13.0247258,7.449344212,4.975739438,14.07772148,12.56434637,11.52726547,15.3743255,10.25047375,12.20650191,20.62621515,8.891071233,19.57672185,9.892282605,13.13296973,8.312555298,8.269602844,5.517330744,9.329809107,9.922757349,10.29573761,0
2012/4/27,12.64420684,17.0988868,9.961205143,7.179012511,1.627613923,7.265862314,12.19636751,13.62486148,4.304794127,11.66020866,6.700507442,4.921340678,12.84374012,11.83754395,11.84378876,14.55717906,9.571948647,11.71514359,21.09973222,8.166537068,19.31367966,8.535270519,12.74492166,6.907105846,8.085352721,5.439362066,9.100124878,9.623458474,10.56091637,0
2012/5/31,12.61592726,17.02591436,10.1117442,7.131676903,1.555325425,7.087158971,12.11985931,14.10631717,3.937541533,11.6524157,6.760559894,5.003871848,12.75292172,11.95651935,8.932267459,14.58983,9.525686021,11.51408275,21.17441155,7.99616793,19.31367966,8.534037191,13.1176774,6.907105846,8.072994377,5.473393778,9.162320548,10.23012514,10.43029174,0
2012/6/29,12.61592726,17.02591436,10.1117442,7.136146514,1.555325425,7.087158971,12.11985931,14.10631717,3.937541533,11.6524157,6.760559894,5.003871848,12.75292172,11.95651935,8.932267459,14.58983,9.525686021,11.51408275,21.17441155,7.99616793,19.31367966,8.534037191,13.1176774,6.907105846,8.072994377,5.473393778,9.162320548,10.23012514,10.43029174,0
2012/7/31,11.65794209,17.24670607,7.493126873,7.268980754,1.000398279,5.909608725,11.60763742,11.05952583,3.27699656,10.6771409,5.906784184,4.833745156,12.23179783,11.15685257,8.839396148,14.63691379,9.226511387,11.31429666,22.74632925,7.189886098,19.98023736,8.192089207,12.92226931,6.369305081,7.840966584,5.00394289,9.044587398,10.28598483,7.320541632,0
2012/8/31,11.65794209,17.24670607,7.517771766,7.277435405,1.000398279,6.073708312,11.60763742,11.07950032,3.364272875,10.80340604,5.918370004,4.833745156,12.23179783,11.15685257,8.839396148,14.65425191,9.226511387,11.32700708,22.74632925,7.189886098,19.98023736,8.192089207,12.92226931,6.369305081,7.840966584,5.00394289,9.069624356,10.34137189,7.320541632,0
2012/9/28,11.65794209,17.24670607,7.517771766,7.277435405,1.000398279,6.073708312,11.60763742,11.07950032,3.364272875,10.80340604,5.918370004,4.833745156,12.23179783,11.15685257,8.839396148,14.65425191,9.226511387,11.32700708,22.74632925,7.189886098,19.98023736,8.192089207,12.92226931,6.369305081,7.840966584,5.00394289,9.069624356,10.34137189,7.320541632,0
2012/10/31,10.63925934,15.15001021,5.497157402,8.584909404,-1.258049455,5.026760734,11.77393678,8.174849565,3.420565144,9.771106152,4.907265472,7.204904544,11.62788395,9.398279164,8.773853176,14.57190153,8.53591303,10.87027648,23.19360934,5.784039605,19.55189123,7.563311701,13.13743294,5.902431813,8.18353272,3.706810694,8.803420719,10.10851394,6.651397532,0
2012/11/30,10.63925934,15.15001021,5.497157402,8.584909404,-1.258049455,5.026760734,11.77393678,8.174849565,3.420565144,9.771106152,4.907265472,7.204904544,11.62788395,9.398279164,8.773853176,14.57190153,8.53591303,10.87027648,23.19360934,5.784039605,19.55189123,7.563311701,13.13743294,5.902431813,8.18353272,3.706810694,8.803420719,10.10851394,6.651397532,0
2012/12/31,10.90870655,14.42030833,3.85338184,10.09323158,-0.963905272,5.848924329,10.50177255,7.966095171,5.015200555,7.782146291,4.156337549,6.956323626,10.97652807,9.516342352,9.353007683,14.26377473,7.518312348,11.22653425,23.46801065,5.584210991,19.29552132,6.492966314,13.84957304,6.859684437,6.095707972,2.541947107,8.57719176,10.29356018,7.586728049,0
2013/1/31,10.90870655,14.42030833,3.85338184,10.09991981,-0.963905272,5.848924329,10.50177255,7.957867191,5.015200555,7.782146291,4.156337549,6.956323626,10.97652807,9.516342352,9.353007683,14.26377473,7.518312348,11.22653425,23.46801065,5.584210991,19.29552132,6.492966314,13.84957304,6.859684437,6.065185669,2.541947107,8.57719176,10.29882417,7.586728049,0
2013/2/28,10.90870655,14.42030833,3.85338184,10.09991981,-0.963905272,5.848924329,10.50177255,7.957867191,5.015200555,7.782146291,4.156337549,6.956323626,10.97652807,9.516342352,9.353007683,14.26377473,7.518312348,11.22653425,23.46801065,5.584210991,19.29552132,6.492966314,13.84957304,6.859684437,6.065185669,2.541947107,8.57719176,10.29882417,7.674682053,0
2013/3/29,10.90870655,14.42030833,3.85338184,10.09991981,-0.963905272,5.848924329,10.50177255,7.957867191,5.015200555,7.782146291,4.156337549,6.956323626,10.97652807,9.516342352,9.353007683,14.26377473,7.518312348,11.22653425,23.46801065,5.584210991,19.29552132,6.492966314,13.84957304,6.859684437,6.065185669,2.541947107,8.57719176,10.29882417,7.628713436,0
2013/4/26,10.43478529,12.68716402,2.879964252,11.05385274,-0.110960178,5.618525773,10.71231011,7.445323104,4.792122672,6.721559378,3.90963567,6.750085734,10.72128949,9.218464889,9.128444954,14.36484468,7.559317688,11.20695756,22.00456561,5.46328847,18.81526088,7.331223496,14.16668621,6.784483897,6.201535391,2.730963454,8.433260145,10.37454302,6.600028708,0
2013/5/31,10.4189132,12.77291124,2.866941923,11.07914491,-0.097467539,5.309004703,10.72275731,7.416206575,5.435565185,6.63712563,3.572152815,6.750085734,10.92245477,8.892559643,9.319399061,14.34398188,7.544736002,11.18369213,22.3294091,5.333587612,18.81526088,7.324949187,14.18541674,6.919381769,6.41486937,2.546412087,8.406938041,10.29426821,6.243001929,0
2013/6/28,10.4189132,12.77291124,2.900616665,11.07914491,-0.069652236,5.222445166,10.72275731,7.416206575,5.435565185,6.63712563,3.572152815,6.750085734,10.92245477,8.892559643,9.619680936,14.34398188,7.797728009,11.17550447,22.3294091,5.333587612,18.81526088,7.324949187,14.18541674,6.919381769,6.381871679,2.546412087,8.406938041,10.29426821,6.278321386,0
2013/7/31,11.1152462,10.93991007,2.430077372,12.43576589,-0.826975741,4.725575094,11.4281302,8.066211873,5.684639987,5.58854363,3.686606592,6.000553757,11.65326442,9.397087408,8.755861576,15.5220035,8.054969935,11.42987479,22.97413906,4.746871344,19.63749998,7.902566197,14.75993262,7.462961981,6.698695745,2.650474348,8.620375125,10.67051043,5.543960172,0
2013/8/30,11.1152462,10.93991007,2.430077372,12.44109179,-0.826975741,4.725575094,11.4281302,8.066211873,5.684639987,5.58854363,3.686606592,6.000553757,11.65326442,9.397087408,8.755861576,15.5220035,8.054969935,11.42987479,22.97413906,4.746871344,19.63749998,7.902566197,14.75993262,7.462961981,6.698695745,2.650474348,8.620375125,10.67051043,5.543960172,0
2013/9/30,11.63743334,10.18448354,2.179281346,13.26929117,0.952874936,4.202545181,11.53369033,8.855339534,6.125515326,5.32339734,3.637110571,5.708721701,12.34254707,9.310889707,7.764631269,15.95003099,7.813981537,11.28201623,20.98311683,4.699594911,19.22053025,9.814955298,15.07928691,7.401354236,7.171879667,4.574658729,8.869982235,10.53670706,5.337026904,0
2013/10/31,11.63743334,10.18448354,2.179281346,13.26929117,0.952874936,4.202545181,11.53369033,8.855339534,6.125515326,5.32339734,3.637110571,5.708721701,12.34254707,9.310889707,7.764631269,15.75150959,7.813981537,11.28201623,20.98311683,4.699594911,19.22053025,9.814955298,15.07928691,7.401354236,7.171879667,4.574658729,8.869982235,10.53670706,5.337026904,0
2013/11/29,11.63743334,10.18448354,2.179281346,13.26929117,0.952874936,4.202545181,11.53369033,8.855339534,6.125515326,5.32339734,3.637110571,5.708721701,12.34254707,9.310889707,7.764631269,15.75150959,7.813981537,11.28201623,20.98311683,4.699594911,19.22053025,9.814955298,15.07928691,7.401354236,7.171879667,4.574658729,8.869982235,10.53670706,5.337026904,0
2013/12/31,11.4556113,9.895834697,5.440015199,12.32357702,1.916216337,4.547623932,12.56411505,10.1145284,3.555294109,6.278584955,2.3108445,5.603025118,13.05295929,8.890368771,7.392375177,16.02072697,7.860450079,11.25663581,19.04780869,5.138555303,18.9899039,9.707122388,13.87378853,6.026644638,8.596223899,6.315932819,8.903907926,10.12898959,9.814978942,0
