基金代码,DEPI,DEPI_Rank,调仓日期,区间,超额收益R,volatility,fee_rate,timing_alpha,timing_beta
011848,0.0,1,2022-03-31,2021-03~2022-03,0.045995114528620484,0.17430751724312393,0.017499999999999998,-0.000277614171614634,1.8868604930606436
005008,0.0,1,2022-03-31,2021-03~2022-03,0.14421009383207184,0.030747948539797447,0.017499999999999998,-2.8766537194928378e-05,-0.38971833657619415
010322,0.0,1,2022-03-31,2021-03~2022-03,0.28122255131005014,0.23993956125581767,0.017499999999999998,0.00090169872666142,1.4356227718649994
009245,0.0,1,2022-03-31,2021-03~2022-03,0.18211798648893063,0.029934033176404303,0.017499999999999998,0.0002640837471413282,-1.3645581453043516
630008,0.0,1,2022-03-31,2021-03~2022-03,0.19359823828356104,0.19870385425116255,0.017499999999999998,0.0005881605748937204,-0.338426119670462
519943,0.0,1,2022-03-31,2021-03~2022-03,0.14801112851376574,0.04727535560347897,0.017499999999999998,6.363102006560975e-06,-1.0168192561980893
004390,0.0,1,2022-03-31,2021-03~2022-03,0.8039227811174134,0.3310413283555734,0.017499999999999998,0.002791460440715629,-1.5864166894788878
007377,0.0,1,2022-03-31,2021-03~2022-03,0.19807794172882986,0.008587419978445133,0.017499999999999998,6.805139078250561e-05,-0.15265035893193868
009322,0.0,1,2022-03-31,2021-03~2022-03,0.1086180787621489,0.1582146234145349,0.017499999999999998,0.0004234477827759637,-1.2689926913312188
013594,0.0,1,2022-03-31,2021-03~2022-03,0.3387782275300003,0.021735669509828737,0.017499999999999998,0.00021211309449033116,-0.4202350880744323
006837,0.0,1,2022-03-31,2021-03~2022-03,0.1586743721099355,0.01657936607955728,0.017499999999999998,-8.865059320705768e-05,-0.1025693880085244
159971,0.0,1,2022-03-31,2021-03~2022-03,0.1455122237420342,0.26316333985749196,0.017499999999999998,0.00029565644874811185,3.70330706211639
510530,0.0,1,2022-03-31,2021-03~2022-03,0.18895676059811217,0.1674541248195197,0.017499999999999998,0.0012129884605455554,-5.180420621895433
006491,0.0,1,2022-03-31,2021-03~2022-03,0.16171500278113182,0.014769777356582527,0.017499999999999998,-8.790499254962495e-05,-0.07420211073668272
011033,0.0,1,2022-03-31,2021-03~2022-03,0.3021132153086816,0.04015252237121023,0.017499999999999998,0.00033844586745194934,-1.2699822169882118
008339,0.0,1,2022-03-31,2021-03~2022-03,0.15651316086114941,0.025680883755632683,0.017499999999999998,-6.426435109241043e-05,-0.5125748769785472
675043,0.0,1,2022-03-31,2021-03~2022-03,0.19872734112894408,0.005990216335747401,0.017499999999999998,7.441475966734178e-05,-0.17175269700899412
159960,0.0,21,2022-03-31,2021-03~2022-03,-0.186015857126414,0.261655610103351,0.017499999999999998,-0.0013066848929855555,2.4085372852924576
013317,0.0,26,2022-03-31,2021-03~2022-03,-0.06868341791414667,0.22539258365421583,0.017499999999999998,-0.0010459372114169354,4.9059762604990915
000167,0.0,29,2022-03-31,2021-03~2022-03,-0.09439112358955548,0.2438603406593535,0.017499999999999998,-0.0003129903029140253,-0.21197913084434575
014836,0.0,37,2022-03-31,2021-03~2022-03,-0.17653360959482323,0.2736435440263644,0.017499999999999998,0.0,0.0
011848,0.0,1,2022-06-30,2021-06~2022-06,0.13090620912228312,0.1967161508513812,0.017499999999999998,0.00014587793395441284,1.9549720233641437
005008,0.0,1,2022-06-30,2021-06~2022-06,0.12199529828346156,0.033780391958797895,0.017499999999999998,-2.7964798217109694e-05,-0.27492402096981006
010322,0.0,1,2022-06-30,2021-06~2022-06,0.15779176912140347,0.2688034319201473,0.017499999999999998,0.00046780706786336677,1.3617891662577102
009245,0.0,1,2022-06-30,2021-06~2022-06,0.15878006820070123,0.03201692490016753,0.017499999999999998,0.00020314197572684912,-0.7800731892801829
630008,0.0,1,2022-06-30,2021-06~2022-06,0.22517078979076355,0.23664919652765462,0.017499999999999998,0.0007099928503048872,0.520860700235072
519943,0.0,1,2022-06-30,2021-06~2022-06,0.07179205790741494,0.06569668558395099,0.017499999999999998,-0.0002940678029977779,-0.32274575633390046
004390,0.0,1,2022-06-30,2021-06~2022-06,0.4902850198256892,0.33923644942906467,0.017499999999999998,0.0017616770520643276,-0.135397948430245
007377,0.0,1,2022-06-30,2021-06~2022-06,0.166324821141411,0.008321006657621303,0.017499999999999998,3.5853181242491776e-05,-0.08717379403180234
014200,0.0,1,2022-06-30,2021-06~2022-06,0.0753759506506344,0.1316992605965078,0.017499999999999998,0.0004271566413404725,0.8260373869180797
013594,0.0,1,2022-06-30,2021-06~2022-06,0.17105822794883507,0.019627926656174886,0.017499999999999998,0.00014969613210145084,-0.212011027017234
009322,0.0,1,2022-06-30,2021-06~2022-06,0.07590572441524657,0.18440113249575177,0.017499999999999998,0.0003139945664144461,-0.7797311690886423
006837,0.0,1,2022-06-30,2021-06~2022-06,0.13434050381252471,0.01611436732177536,0.017499999999999998,-9.927135317350453e-05,-0.0030322735956641094
510530,0.0,1,2022-06-30,2021-06~2022-06,0.10685354589635332,0.20827755591843325,0.017499999999999998,0.001059709447175324,-4.698289252127793
006491,0.0,1,2022-06-30,2021-06~2022-06,0.13369814513068823,0.01499429339400966,0.017499999999999998,-7.802842772336522e-05,-0.1745950275575809
011033,0.0,1,2022-06-30,2021-06~2022-06,0.20695297393506118,0.04161538000038711,0.017499999999999998,0.00031094493324742195,-0.9576363197963261
008339,0.0,1,2022-06-30,2021-06~2022-06,0.1315672215674173,0.02573990719969331,0.017499999999999998,-5.494631618305179e-05,-0.4486217885470879
675043,0.0,1,2022-06-30,2021-06~2022-06,0.17085825277265387,0.006203292781015924,0.017499999999999998,5.933312252096678e-05,-0.11792878070909965
