,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2021-05-31,202.72,60.00,389.72,305.11,270.62,902.38,121.47,635.81,248.17,981.82,"1,424.94",163.35,514.09,89.95,751.97,"1,585.53",39.69,"2,605.77","3,967.45",205.95,"1,802.45","1,156.40",388.80,484.95,"1,297.86",200.23,767.20,344.81,21.15,7.44
2021-06-30,219.79,73.70,351.50,321.33,271.87,995.65,130.40,568.71,242.39,"1,096.72","1,831.97",155.90,561.71,74.03,682.06,"1,471.01",44.74,"2,763.96","3,638.49",226.82,"1,686.17","1,045.92",351.03,504.34,"1,547.04",212.35,827.41,310.20,35.32,6.76
2021-07-30,210.47,75.59,507.49,301.82,334.82,"1,021.71",137.52,526.02,225.65,"1,101.24","2,011.39",134.05,522.95,73.36,537.78,"1,315.48",39.55,"2,410.32","2,940.87",186.95,"1,375.54",893.31,284.83,448.63,"1,561.32",237.88,847.82,263.12,30.43,5.30
2021-08-31,219.47,119.83,601.30,352.26,423.90,"1,083.84",171.49,579.21,225.06,"1,175.28","2,170.55",163.35,563.44,63.89,509.62,"1,369.57",39.43,"2,162.01","2,582.09",171.59,"1,455.31",900.96,304.66,497.21,"1,507.07",233.69,832.61,240.42,32.88,6.08
2021-09-30,252.61,143.84,523.63,429.67,312.19,"1,064.50",169.77,529.81,193.78,"1,081.84","2,196.58",125.30,505.36,63.38,579.08,"1,371.88",32.96,"2,410.51","3,076.98",195.03,"1,445.47",870.40,330.66,534.20,"1,442.83",208.85,908.80,242.57,30.20,8.46
2021-10-29,227.29,111.14,537.86,425.56,261.65,"1,118.50",157.62,456.82,191.21,"1,124.01","2,578.59",139.30,594.88,63.25,604.05,"1,340.30",32.01,"2,344.19","3,234.86",225.22,"1,580.74",842.39,255.45,548.68,"1,521.96",225.85,923.60,248.33,29.64,7.43
2021-11-30,201.26,103.17,558.19,386.02,247.55,"1,112.04",153.24,416.54,188.27,"1,112.69","2,667.22",187.13,581.42,66.05,492.76,"1,280.93",33.90,"2,339.58","3,267.57",225.54,"1,422.93",779.64,242.17,497.04,"1,740.69",269.21,998.67,256.76,29.00,7.86
2021-12-31,215.06,119.27,516.23,486.78,273.36,"1,177.52",197.28,496.97,216.97,"1,127.67","2,543.03",203.12,580.26,63.50,539.51,"1,428.17",34.41,"2,300.10","3,497.94",272.48,"1,486.55",908.89,283.60,543.58,"1,848.07",296.53,"1,102.30",322.29,25.62,9.58
2022-01-28,218.65,113.65,500.90,456.02,260.79,"1,106.63",213.22,464.53,215.02,"1,021.23","2,273.13",159.53,524.80,58.09,481.25,"1,323.36",29.00,"1,846.03","3,107.82",269.60,"1,655.51",891.94,300.92,534.72,"1,559.76",247.25,954.00,267.39,23.12,9.21
2022-02-28,239.75,156.03,640.34,516.78,276.86,"1,131.39",212.89,461.13,207.61,980.97,"2,330.04",158.63,487.25,57.52,482.65,"1,225.75",27.99,"1,864.83","3,020.38",258.98,"1,712.59",885.63,288.47,565.37,"1,562.82",266.01,871.91,262.07,27.31,8.94
2022-03-31,203.52,194.46,617.10,472.79,238.26,948.34,224.04,419.76,180.11,854.10,"2,159.34",129.46,383.21,50.82,370.65,"1,022.94",23.02,"1,746.95","2,579.57",275.51,"1,633.06",775.38,316.93,491.74,"1,291.67",220.05,687.44,235.48,22.33,8.01
2022-04-29,194.93,199.81,557.03,497.08,197.64,910.29,248.03,415.47,164.59,720.03,"1,958.62",122.51,349.45,55.33,386.02,"1,059.11",24.55,"1,543.17","2,767.74",237.09,"1,502.33",692.78,319.53,500.55,"1,132.20",194.25,632.46,221.71,21.35,7.25
2022-05-31,243.48,244.96,538.27,574.81,184.88,"1,110.27",233.51,410.28,163.21,818.62,"2,212.24",132.78,411.50,51.36,387.53,"1,047.51",23.98,"1,555.82","2,782.38",232.49,"1,487.89",681.52,260.36,549.99,"1,244.20",207.20,680.17,227.01,21.61,7.87
2022-06-30,228.59,264.53,587.65,559.82,173.98,"1,308.87",241.48,499.46,201.89,"1,026.89","3,028.33",157.43,492.50,47.20,532.61,"1,239.18",23.45,"1,859.51","3,406.69",272.48,"1,641.81",770.91,289.04,604.88,"1,302.71",238.37,807.66,256.02,20.68,6.93
2022-07-29,225.84,247.75,586.25,599.05,168.79,"1,207.89",223.66,399.55,160.87,975.82,"2,998.98",146.13,509.82,37.96,493.02,"1,144.26",23.05,"1,754.66","3,059.97",286.20,"1,351.78",694.00,241.69,562.30,"1,252.17",251.22,777.62,233.68,20.56,5.57
2022-08-31,238.72,291.96,555.79,617.64,148.57,"1,189.89",240.22,337.97,164.39,919.04,"2,775.71",133.92,469.22,39.13,451.33,"1,051.79",23.39,"1,715.94","3,121.16",287.78,"1,308.33",737.41,255.53,599.76,"1,233.57",243.44,764.23,251.37,21.84,6.14
2022-09-30,229.71,308.74,514.74,569.19,140.32,"1,132.13",225.74,289.80,145.12,828.09,"2,461.29",140.79,423.78,34.29,440.16,991.74,23.37,"1,631.96","3,024.04",243.73,"1,239.01",663.77,262.45,601.57,"1,055.57",227.07,682.45,214.81,16.94,5.46
2022-10-31,207.29,269.58,513.50,511.06,127.43,983.57,211.25,231.46,121.68,856.15,"2,440.71",166.79,390.50,31.15,351.82,769.69,21.70,"1,719.55","1,998.96",216.03,984.86,598.76,212.48,567.50,"1,080.64",248.00,748.67,183.43,16.47,5.84
2022-11-30,240.54,296.10,651.08,519.68,171.17,"1,028.50",262.16,341.47,150.11,904.75,"2,487.45",149.78,441.31,45.43,446.01,"1,006.69",25.22,"1,791.92","2,447.51",228.68,"1,303.26",937.21,252.92,624.56,"1,124.39",237.94,624.69,241.64,20.04,6.59
2022-12-30,214.76,238.49,639.08,480.72,153.37,988.01,233.98,352.93,168.02,902.25,"2,382.21",145.06,404.89,53.92,515.33,"1,115.15",24.86,"1,868.23","2,903.99",237.18,"1,374.87",963.81,264.84,615.06,999.89,187.74,678.59,282.51,8.81,6.65
2023-01-31,252.83,253.04,858.62,481.04,188.56,"1,137.52",242.30,392.30,180.21,"1,044.83","2,826.75",162.46,485.74,62.95,540.63,"1,245.73",30.51,"2,027.45","3,255.21",246.73,"1,559.14","1,234.70",269.32,620.82,"1,206.13",211.59,802.46,332.77,9.72,9.59
