period,buy_amount,repay_amount,balance,repay_amount_yoy,indicator_name
2019-10-14/2019-10-20,195169378131.0,-192292502319.0,541397950787.0,0.3654781226265822,margin_repay_amount_W_yoy
2019-10-21/2019-10-27,156318920495.0,-152843856616.0,543351773604.0,0.05169496652047845,margin_repay_amount_W_yoy
2019-10-28/2019-11-03,213618779076.0,-211101506466.0,542675980074.0,0.37782111243563343,margin_repay_amount_W_yoy
2019-11-04/2019-11-10,207081051622.0,-203966879881.0,543255280042.0,0.42629236440219187,margin_repay_amount_W_yoy
2019-11-11/2019-11-17,164691315961.0,-167261905295.0,412414846741.0,-0.17092176223497868,margin_repay_amount_W_yoy
2019-11-18/2019-11-24,179455322582.0,-177473618220.0,542558701610.0,-0.16959646287864538,margin_repay_amount_W_yoy
2019-11-25/2019-12-01,150270107185.0,-153636670320.0,411407975807.0,-0.4604171440410201,margin_repay_amount_W_yoy
2019-12-02/2019-12-08,168783446330.0,-161626778347.0,542900227729.0,-0.3442146733462459,margin_repay_amount_W_yoy
2019-12-09/2019-12-15,224440747903.0,-215636382076.0,423422868505.0,-0.1048356799476976,margin_repay_amount_W_yoy
2019-12-16/2019-12-22,331825818086.0,-304837466043.0,555035446253.0,0.29717296151051675,margin_repay_amount_W_yoy
2019-12-23/2019-12-29,265962337560.0,-260811962638.0,555111529883.0,6.283987529726438,margin_repay_amount_W_yoy
2019-12-30/2020-01-05,272450929510.0,-259645447418.0,449511452527.0,0.9088056850200081,margin_repay_amount_W_yoy
2020-01-06/2020-01-12,383963031263.0,-364047632266.0,570739934602.0,0.8931972275344886,margin_repay_amount_W_yoy
2020-01-13/2020-01-19,330403211377.0,-321243915752.0,575491812969.0,1.101778395706691,margin_repay_amount_W_yoy
2020-01-20/2020-01-26,299969819285.0,-314071128658.0,568373798279.0,0.48777303353154555,margin_repay_amount_W_yoy
2020-02-03/2020-02-09,401939507559.0,-401315236940.0,561920858486.0,0.9675509924657306,margin_repay_amount_W_yoy
2020-02-10/2020-02-16,428521570430.0,-416809771536.0,474107708344.0,1.4919587685006466,margin_repay_amount_W_yoy
2020-02-17/2020-02-23,584925921594.0,-540921367645.0,579970674213.0,2.047897332968456,margin_repay_amount_W_yoy
2020-02-24/2020-03-01,657164173469.0,-651994961099.0,582209646574.0,3.2437457134484973,margin_repay_amount_W_yoy
2020-03-02/2020-03-08,562818137776.0,-539798177488.0,520357505604.0,2.339781829525153,margin_repay_amount_W_yoy
2020-03-09/2020-03-15,476422612159.0,-487722308544.0,585866095442.0,1.2617811699887667,margin_repay_amount_W_yoy
2020-03-16/2020-03-22,369266563660.0,-395541995030.0,573455088179.0,0.29755046242972427,margin_repay_amount_W_yoy
2020-03-23/2020-03-29,294495799518.0,-313901251730.0,565477732570.0,0.20355388823052767,margin_repay_amount_W_yoy
2020-03-30/2020-04-05,246916556576.0,-263076508013.0,554642771517.0,0.013214406911885357,margin_repay_amount_W_yoy
2020-04-06/2020-04-12,248472685640.0,-247984643646.0,552122826513.0,-0.31881264519582386,margin_repay_amount_W_yoy
2020-04-13/2020-04-19,268534383305.0,-268862846016.0,551148283066.0,-0.16305700175949212,margin_repay_amount_W_yoy
2020-04-20/2020-04-26,274101576187.0,-272848487614.0,550033499023.0,-0.1312525644115744,margin_repay_amount_W_yoy
2020-04-27/2020-05-03,212723866063.0,-229826236770.0,481540744235.0,-0.42731744121551773,margin_repay_amount_W_yoy
2020-05-04/2020-05-10,196514053387.0,-177040594734.0,490899643352.0,-0.5752484542730809,margin_repay_amount_W_yoy
2020-05-11/2020-05-17,279760010558.0,-266229053937.0,499245047244.0,-0.507823003746225,margin_repay_amount_W_yoy
2020-05-18/2020-05-24,287070263838.0,-287919451098.0,556339825469.0,-0.5584023370170159,margin_repay_amount_W_yoy
2020-05-25/2020-05-31,218344973401.0,-219594690286.0,555018097562.0,-0.5931911231936648,margin_repay_amount_W_yoy
2020-06-01/2020-06-07,323057969730.0,-304993974569.0,562693813584.0,-0.3746565018124758,margin_repay_amount_W_yoy
2020-06-08/2020-06-14,294055139874.0,-283006716108.0,567784675205.0,-0.28450905424963724,margin_repay_amount_W_yoy
2020-06-15/2020-06-21,353151867740.0,-333038648708.0,574584041996.0,0.06096629711582313,margin_repay_amount_W_yoy
2020-06-22/2020-06-28,230393766058.0,-220525554541.0,531535032601.0,-0.16174364557818033,margin_repay_amount_W_yoy
2020-06-29/2020-07-05,510038034992.0,-453748427727.0,606187612076.0,0.8297440561469984,margin_repay_amount_W_yoy
2020-07-06/2020-07-12,977475250385.0,-842390080681.0,678735135575.0,2.13315912988167,margin_repay_amount_W_yoy
2020-07-13/2020-07-19,813224846194.0,-788386858392.0,696844708851.0,1.88946757699216,margin_repay_amount_W_yoy
2020-07-20/2020-07-26,613480229006.0,-606967668306.0,640462332153.0,1.6409851061235736,margin_repay_amount_W_yoy
2020-07-27/2020-08-02,510777188908.0,-479783086474.0,715121775818.0,1.710017367456682,margin_repay_amount_W_yoy
2020-08-03/2020-08-09,683215769274.0,-651472545483.0,729497666990.0,1.447037751323578,margin_repay_amount_W_yoy
2020-08-10/2020-08-16,481216268202.0,-491006942242.0,723080350545.0,0.7053621781005497,margin_repay_amount_W_yoy
2020-08-17/2020-08-23,491736795500.0,-471494027129.0,678673981817.0,1.1471103263695785,margin_repay_amount_W_yoy
2020-08-24/2020-08-30,404579533408.0,-404529946889.0,732783678329.0,0.32635389751767563,margin_repay_amount_W_yoy
2020-08-31/2020-09-06,417326272565.0,-399925231992.0,694414118970.0,0.41312982777193863,margin_repay_amount_W_yoy
2020-09-07/2020-09-13,353712764921.0,-375679020668.0,683200397189.0,0.12803430510368785,margin_repay_amount_W_yoy
2020-09-14/2020-09-20,302461108164.0,-296979788950.0,685514370490.0,0.3466910425330578,margin_repay_amount_W_yoy
2020-09-21/2020-09-27,275579034904.0,-277992817808.0,730801783480.0,-0.3873415293126795,margin_repay_amount_W_yoy
2020-09-28/2020-10-04,118118086369.0,-143854937197.0,718773947637.0,-0.8292300200392844,margin_repay_amount_W_yoy
2020-10-05/2020-10-11,64475920373.0,-53579826956.0,722623954673.0,-0.9320386604803613,margin_repay_amount_W_yoy
2020-10-12/2020-10-18,358589509352.0,-334128258473.0,730157187663.0,-0.44951226248092224,margin_repay_amount_W_yoy
2020-10-19/2020-10-25,278484260509.0,-284735177485.0,728885246959.0,-0.4065335241857674,margin_repay_amount_W_yoy
2020-10-26/2020-11-01,288118160523.0,-292868567395.0,726579583483.0,-0.5504514051657111,margin_repay_amount_W_yoy
2020-11-02/2020-11-08,346259810662.0,-332545265820.0,730307648470.0,-0.3227279754914337,margin_repay_amount_W_yoy
2020-11-09/2020-11-15,393537997471.0,-383093728270.0,703132461055.0,-0.18748975336396745,margin_repay_amount_W_yoy
2020-11-16/2020-11-22,346502911683.0,-340121633581.0,737865462670.0,-0.159217664361628,margin_repay_amount_W_yoy
2020-11-23/2020-11-29,375798760535.0,-368471947418.0,743489604691.0,-0.07864791230434087,margin_repay_amount_W_yoy
2020-11-30/2020-12-06,404555817132.0,-388356775201.0,754258913777.0,0.033746240368859315,margin_repay_amount_W_yoy
2020-12-07/2020-12-13,325068973578.0,-330206926433.0,710279304157.0,0.11188349752849391,margin_repay_amount_W_yoy
2020-12-14/2020-12-20,314820563684.0,-306949750076.0,712463513570.0,0.10416431797169512,margin_repay_amount_W_yoy
2020-12-21/2020-12-27,414415708067.0,-403409313379.0,767303833177.0,1.8042785408647957,margin_repay_amount_W_yoy
2020-12-28/2021-01-03,321633332960.0,-322455682611.0,713657084317.0,5.0182292652009135,margin_repay_amount_W_yoy
2021-01-04/2021-01-10,595697574679.0,-551457403813.0,792770084113.0,0.6504362915403092,margin_repay_amount_W_yoy
2021-01-11/2021-01-17,576396979148.0,-566179199515.0,801616826104.0,0.9884413458004382,margin_repay_amount_W_yoy
2021-01-18/2021-01-24,516047337810.0,-492207355347.0,815403994518.0,0.6806424797480783,margin_repay_amount_W_yoy
2021-01-25/2021-01-31,466626347814.0,-486732389338.0,731709803628.0,0.4636575509135601,margin_repay_amount_W_yoy
2021-02-01/2021-02-07,404559837439.0,-426742779712.0,798537947597.0,0.11393830861996435,margin_repay_amount_W_yoy
2021-02-08/2021-02-14,234138258894.0,-253031026051.0,711250104283.0,-0.2560572422667121,margin_repay_amount_W_yoy
2021-02-15/2021-02-21,223824315520.0,-194799100755.0,802437603320.0,-0.47133261535913606,margin_repay_amount_W_yoy
2021-02-22/2021-02-28,483396493127.0,-480663434506.0,806306694237.0,0.23768520391391457,margin_repay_amount_W_yoy
2021-03-01/2021-03-07,381601853721.0,-385552787172.0,806221304478.0,0.16760962992770478,margin_repay_amount_W_yoy
2021-03-08/2021-03-14,348606331405.0,-366976955037.0,798267706264.0,0.1955603643467292,margin_repay_amount_W_yoy
2021-03-15/2021-03-21,307495402912.0,-307713187461.0,797113296291.0,-0.2372184348359211,margin_repay_amount_W_yoy
2021-03-22/2021-03-28,290767890754.0,-292772297599.0,711445323866.0,-0.09205415383486693,margin_repay_amount_W_yoy
2021-03-29/2021-04-04,287930565322.0,-289907428267.0,794150731478.0,-0.4742886281651809,margin_repay_amount_W_yoy
2021-04-05/2021-04-11,238450414578.0,-227750012339.0,799847556152.0,-0.5977421767982734,margin_repay_amount_W_yoy
2021-04-12/2021-04-18,266442599975.0,-272722730859.0,712508759894.0,-0.44591902600331135,margin_repay_amount_W_yoy
2021-04-19/2021-04-25,332492600999.0,-328826902639.0,717074220454.0,-0.32441951708569405,margin_repay_amount_W_yoy
2021-04-26/2021-05-02,354866909673.0,-368292307452.0,709203424877.0,-0.13696886049120038,margin_repay_amount_W_yoy
2021-05-03/2021-05-09,156769314110.0,-149485687551.0,797991832859.0,-0.4092199289391878,margin_repay_amount_W_yoy
2021-05-10/2021-05-16,364378216927.0,-351031204760.0,804800999074.0,0.8020165565419834,margin_repay_amount_W_yoy
2021-05-17/2021-05-23,378784132771.0,-362033175794.0,810670237086.0,-0.2468052491530207,margin_repay_amount_W_yoy
2021-05-24/2021-05-30,435945342347.0,-418109404243.0,737460262427.0,0.08444139986589194,margin_repay_amount_W_yoy
2021-05-31/2021-06-06,443631631195.0,-425468419644.0,744129888455.0,0.15938729613444713,margin_repay_amount_W_yoy
2021-06-07/2021-06-13,427072915777.0,-417178629330.0,749771859021.0,0.35573854592395016,margin_repay_amount_W_yoy
2021-06-14/2021-06-20,325553886147.0,-317798325870.0,749886390347.0,0.0854794954175524,margin_repay_amount_W_yoy
2021-06-21/2021-06-27,450201798839.0,-433229224483.0,759218317688.0,0.4943708999550125,margin_repay_amount_W_yoy
2021-06-28/2021-07-04,448718450066.0,-444482810912.0,856383116685.0,0.9516258477755815,margin_repay_amount_W_yoy
2021-07-05/2021-07-11,484415417230.0,-464888885807.0,866811908074.0,0.704620969226623,margin_repay_amount_W_yoy
