trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
2017-05-24,SSE,509246104228.0,15052025458.0,15211224553.0,4084972437.0,106494589.0,513331076665.0,
2017-05-24,SZSE,361285363996.0,12836994935.0,13446204259.0,996791849.0,26577469.0,362282155845.0,
2017-05-25,SZSE,360790843377.0,16750576165.0,17245096784.0,1106094863.0,31773800.0,361896938240.0,
2017-05-25,SSE,509448789631.0,21641618054.0,21438932651.0,4144147054.0,114121065.0,513592936685.0,
2017-05-26,SZSE,358156972671.0,13704886506.0,16338757212.0,892059106.0,17462052.0,359049031777.0,
2017-05-26,SSE,505837079759.0,15608091455.0,19219801327.0,3747120231.0,54388359.0,509584199990.0,
2017-05-31,SZSE,358735763010.0,14742161970.0,14163371631.0,990295450.0,25631090.0,359726058460.0,
2017-05-31,SSE,506079239855.0,17477355035.0,17235194939.0,3819410833.0,64687195.0,509898650688.0,
2017-06-01,SSE,502881436275.0,15656546673.0,18854350253.0,3879315832.0,62154271.0,506760752107.0,
2017-06-01,SZSE,356899264340.0,13059574775.0,14896073445.0,968246352.0,22183882.0,357867510692.0,
2017-06-02,SSE,501826004106.0,15446395167.0,16501827336.0,3557897486.0,58337153.0,505383901592.0,
2017-06-02,SZSE,356176682853.0,12836831263.0,13559412750.0,970676188.0,19442833.0,357147359041.0,
2017-06-05,SSE,502967461112.0,14819828169.0,13678371163.0,3565840102.0,77451138.0,506533301214.0,
2017-06-05,SZSE,356184649448.0,11686375320.0,11678408725.0,936819788.0,15897561.0,357121469236.0,
2017-06-06,SZSE,355472431426.0,10846477215.0,11558695237.0,986261738.0,18154593.0,356458693164.0,
2017-06-06,SSE,502648994421.0,13568761087.0,13887227778.0,3571713693.0,54533856.0,506220708114.0,
2017-06-07,SSE,504951018649.0,21295080642.0,18993056414.0,3388251237.0,65755987.0,508339269886.0,
2017-06-07,SZSE,356764418655.0,18963593316.0,17671606087.0,935538855.0,17644274.0,357699957510.0,
2017-06-08,SSE,505449167298.0,18952224217.0,18454075568.0,3505035715.0,67177377.0,508954203013.0,
2017-06-08,SZSE,356892443200.0,16907236788.0,16779212243.0,986816054.0,17448502.0,357879259254.0,
2017-06-09,SZSE,356537908061.0,14873027522.0,15227562661.0,920588345.0,15049281.0,357458496406.0,
2017-06-09,SSE,504070812514.0,18706664816.0,20085019600.0,3592199771.0,65656792.0,507663012285.0,
2017-06-12,SZSE,357074992223.0,15245976817.0,14708892655.0,960521409.0,16304164.0,358035513632.0,
2017-06-12,SSE,505452993981.0,18015011225.0,16632829758.0,3660929777.0,56335769.0,509113923758.0,
2017-06-13,SSE,506886152863.0,16110552209.0,14677393327.0,3409027197.0,53929565.0,510295180060.0,
2017-06-13,SZSE,358387153884.0,15510152843.0,14197991182.0,992618465.0,19791059.0,359379772349.0,
2017-06-14,SSE,507249153818.0,16798046853.0,16435045898.0,3350887021.0,81079264.0,510600040839.0,
2017-06-14,SZSE,358338421711.0,15500757543.0,15549489716.0,991755444.0,17002013.0,359330177155.0,
2017-06-15,SSE,509014686250.0,17179533078.0,15414000646.0,3252054614.0,58364709.0,512266740864.0,
2017-06-15,SZSE,359886953330.0,17400749864.0,15852218245.0,961251514.0,15983069.0,360848204844.0,
2017-06-16,SSE,507198520290.0,14650312612.0,16466478572.0,3246556042.0,59247205.0,510445076332.0,
2017-06-16,SZSE,358413770932.0,14064737650.0,15537920048.0,973316551.0,15353546.0,359387087483.0,
2017-06-19,SZSE,359244743124.0,14327148220.0,13496176028.0,944466602.0,12174759.0,360189209726.0,
2017-06-19,SSE,508226930204.0,16232669045.0,15204259131.0,3416889249.0,71546606.0,511643819453.0,
2017-06-20,SZSE,359166435223.0,17401834914.0,17480142815.0,997044902.0,17524292.0,360163480125.0,
2017-06-20,SSE,508333054879.0,17080691207.0,16974566532.0,3358812434.0,61152261.0,511691867313.0,
2017-06-21,SSE,508932378843.0,18008268671.0,17408944707.0,3458382285.0,77624556.0,512390761128.0,
2017-06-21,SZSE,359877277809.0,17489105501.0,16778262915.0,966660077.0,15862080.0,360843937886.0,
2017-06-22,SSE,509754526622.0,25381397798.0,24559250019.0,3679412004.0,82011037.0,513433938626.0,
2017-06-22,SZSE,359393887211.0,20104831194.0,20588221792.0,1024768338.0,23529238.0,360418655549.0,
2017-06-23,SZSE,358904197615.0,18054249450.0,18543939046.0,964469472.0,16431487.0,359868667087.0,
2017-06-23,SSE,507890577040.0,18637892129.0,20501841711.0,3434845727.0,50993695.0,511325422767.0,
2017-06-26,SZSE,360915740900.0,22998715124.0,20987171839.0,1034691089.0,25141522.0,361950431989.0,
2017-06-26,SSE,511001191807.0,24254723706.0,21144108939.0,3615355659.0,63454086.0,514616547466.0,
