,农林牧渔,基础化工,钢铁,有色金属,电子,汽车,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,银行,非银金融,综合,建筑材料,建筑装饰,电力设备,机械设备,国防军工,计算机,传媒,通信,煤炭
交通运输,0.7580239751677251,0.8669311031500394,0.790124253318283,0.7796639982110125,0.765479347430731,0.8519485363558018,0.7566008033514352,0.7075253674998986,0.8501896880415398,0.8395471326853033,0.7821606149984982,0.8905273903087892,1.0,0.8200541123562848,0.8662685179051488,0.7315110859194206,0.5203547436672868,0.7119251720037892,0.8158468162519811,0.8415865299905054,0.8616668091690541,0.8184882854433273,0.8718523396372139,0.7272536130162438,0.7301891720206896,0.7734425138752506,0.78051923318032,0.6890084729865831
房地产,0.6932199710531226,0.8038832633716441,0.7388001924192958,0.728366605579948,0.6981247160100197,0.7874608851068371,0.7442603804275624,0.6573510322188993,0.788942330921824,0.780964293310683,0.6928870797848377,0.8125802778431308,0.8200541123562848,1.0,0.8158998383786057,0.663221809732912,0.5792831906960717,0.7392779535534956,0.763930564103979,0.8321130844141369,0.7954514123730617,0.7419846637448675,0.8011112828736667,0.646919526380816,0.6604672996422374,0.7098374795291903,0.7157887234465494,0.6451324773349182
商贸零售,0.81506383952637,0.9222138200779628,0.7423810656895767,0.8090766158460934,0.843893891355805,0.8733359557444795,0.7501462058783419,0.7056216163622334,0.924415973413649,0.9170037474463111,0.8533648667795989,0.8812501690398681,0.8662685179051488,0.8158998383786057,1.0,0.7700179079892708,0.39431240320801797,0.6825539578888007,0.9007615353723035,0.8532042741797993,0.8028400568629016,0.883065767523484,0.9184950770264038,0.7585710439114058,0.8344397113219797,0.8687121175907608,0.84805209601159,0.7160079387014675
社会服务,0.6805125557841872,0.7758986298119683,0.5825267166781001,0.6614279685643497,0.7357459509825839,0.7435502880451366,0.6957785008666897,0.6960508277161658,0.7488425934325768,0.7764507777307692,0.7743506979072223,0.7130483484680492,0.7315110859194206,0.663221809732912,0.7700179079892708,1.0,0.3422080301920829,0.575958740242894,0.7293803806163507,0.7162408263190432,0.6422903887250497,0.755713052258244,0.7676503667462178,0.6284790182887027,0.7075735393468513,0.7409942571745399,0.6999453217314903,0.6943598560912337
银行,0.32220862862492605,0.4168265079964924,0.4749073227042998,0.40290607581750454,0.32611588861782875,0.46065025847634916,0.5072803890309587,0.46974262184447807,0.36509216452030113,0.365242313528375,0.34674204278572596,0.4859650007017448,0.5203547436672868,0.5792831906960717,0.39431240320801797,0.3422080301920829,1.0,0.743412720239204,0.33630731314729967,0.4674497003561657,0.5284975027253761,0.3579775365888869,0.40862803402982273,0.3257867677815519,0.2829383167582309,0.3277826664323058,0.36132826405547186,0.2906190930579972
非银金融,0.5517544332712946,0.6780984860569244,0.6400257104653423,0.6342063255175777,0.6192152113173662,0.7025544585020816,0.6829178832560397,0.6376630415079622,0.6368160751401234,0.6387527962672115,0.6057484357966425,0.7028074030185854,0.7119251720037892,0.7392779535534956,0.6825539578888007,0.575958740242894,0.743412720239204,1.0,0.6177351849818621,0.6894439659989167,0.7077685752967803,0.6370786358370831,0.6819025094744312,0.5700568862963602,0.5802776117756709,0.6234787865592267,0.6374074388302704,0.5129036551267435
综合,0.7874125202115045,0.9174591682773304,0.7079241242633035,0.811328632021948,0.8628682993852137,0.8646310541258148,0.6906430341015302,0.6415171685222865,0.9066489137736905,0.9277212365186973,0.8295522955399963,0.8498973093691715,0.8158468162519811,0.763930564103979,0.9007615353723035,0.7293803806163507,0.33630731314729967,0.6177351849818621,1.0,0.8291202388436674,0.7597586953131343,0.8994988872691946,0.9120285193791676,0.7454001780103291,0.8548263075128943,0.8759329008588589,0.8509079451933332,0.6782282556463718
建筑材料,0.7611758918926743,0.8973129470665098,0.8056403129700872,0.8063935758365107,0.778426390478049,0.8447388559308017,0.7599348187195157,0.6986342401956267,0.8471119536779261,0.8626820999325069,0.7830050556990753,0.8562965560405451,0.8415865299905054,0.8321130844141369,0.8532042741797993,0.7162408263190432,0.4674497003561657,0.6894439659989167,0.8291202388436674,1.0,0.8426116600966058,0.8303029564195259,0.8889429213924962,0.7181795072525909,0.742989476226523,0.7706538112590287,0.7774927630106481,0.7133708742810465
建筑装饰,0.6977149661220509,0.8187819631765295,0.7844302925629263,0.7537744121840553,0.7103080407809715,0.793398509592603,0.6984789857954163,0.6265631591074753,0.7945830022165128,0.7858111807186617,0.6932989081967633,0.8551489559103642,0.8616668091690541,0.7954514123730617,0.8028400568629016,0.6422903887250497,0.5284975027253761,0.7077685752967803,0.7597586953131343,0.8426116600966058,1.0,0.7789114722796499,0.8577395977842892,0.7077384038439074,0.6884054883073681,0.7278208115609197,0.7426054116792343,0.6567659586671224
电力设备,0.8012783563919857,0.929394252627207,0.713899463763311,0.8286811649888947,0.9061230543707193,0.9071767178455519,0.7349297685352404,0.6723631776707875,0.8863912584960557,0.9121314108660635,0.8414485419614739,0.8724812260257983,0.8184882854433273,0.7419846637448675,0.883065767523484,0.755713052258244,0.3579775365888869,0.6370786358370831,0.8994988872691946,0.8303029564195259,0.7789114722796499,1.0,0.937739659401756,0.7880726768792108,0.8718730396000182,0.8798024016354162,0.872634606834363,0.7455777021794754
机械设备,0.8140968320310893,0.953535817653833,0.7647611614405915,0.8472522684396705,0.8936185670500084,0.9105405596637318,0.7548292836104789,0.6863010492682454,0.9273761091632573,0.9353597458778831,0.8488560600350825,0.9049327162466289,0.8718523396372139,0.8011112828736667,0.9184950770264038,0.7676503667462178,0.40862803402982273,0.6819025094744312,0.9120285193791676,0.8889429213924962,0.8577395977842892,0.937739659401756,1.0,0.8208979630085554,0.8768997923005445,0.8873986579455354,0.8893513873701843,0.7619804583541621
国防军工,0.695403395902919,0.7848169339636133,0.6450834321423533,0.7235359355212447,0.7448000634985932,0.7496265490182512,0.607301001382856,0.5403142078730075,0.765104127696252,0.753092877388385,0.6808506824282929,0.7694782178293016,0.7272536130162438,0.646919526380816,0.7585710439114058,0.6284790182887027,0.3257867677815519,0.5700568862963602,0.7454001780103291,0.7181795072525909,0.7077384038439074,0.7880726768792108,0.8208979630085554,1.0,0.7305148721547712,0.7201598247763077,0.7616143826463785,0.9402404369583006
计算机,0.7275592992099683,0.8582811774426456,0.6090279287448283,0.7329492353875017,0.9087365047349759,0.8103144660363628,0.6453300900033035,0.5789094653613959,0.8374162944029004,0.873696410552898,0.8056417881891996,0.7695841950664692,0.7301891720206896,0.6604672996422374,0.8344397113219797,0.7075735393468513,0.2829383167582309,0.5802776117756709,0.8548263075128943,0.742989476226523,0.6884054883073681,0.8718730396000182,0.8768997923005445,0.7305148721547712,1.0,0.9244136532832677,0.9043019963069722,0.6740074552731119
传媒,0.7527562161860757,0.8740408678975471,0.647079435109816,0.7558609492461881,0.88317394145785,0.8379153185777171,0.6936857363277188,0.6296488608967784,0.8672796910370432,0.8956105419198415,0.8314639339235713,0.8062775336338428,0.7734425138752506,0.7098374795291903,0.8687121175907608,0.7409942571745399,0.3277826664323058,0.6234787865592267,0.8759329008588589,0.7706538112590287,0.7278208115609197,0.8798024016354162,0.8873986579455354,0.7201598247763077,0.9244136532832677,1.0,0.8798064897850615,0.6761404822977496
通信,0.738631955952,0.8739420221960935,0.6622682779171043,0.7601350769875561,0.9134830232500484,0.8366494287316729,0.6941785979394947,0.6186567105127333,0.8471067937427149,0.8672474467570102,0.788054636643421,0.8077697339271678,0.78051923318032,0.7157887234465494,0.84805209601159,0.6999453217314903,0.36132826405547186,0.6374074388302704,0.8509079451933332,0.7774927630106481,0.7426054116792343,0.872634606834363,0.8893513873701843,0.7616143826463785,0.9043019963069722,0.8798064897850615,1.0,0.7526497887974898
煤炭,0.7261021261148323,0.7311134099555359,0.6285481042047095,0.6890087089755184,0.720476229916099,0.7070404620007299,0.6574615983921037,0.6186444472199142,0.7330404737805755,0.6864025001920374,0.7018871777133359,0.7204850623134534,0.6890084729865831,0.6451324773349182,0.7160079387014675,0.6943598560912337,0.2906190930579972,0.5129036551267435,0.6782282556463718,0.7133708742810465,0.6567659586671224,0.7455777021794754,0.7619804583541621,0.9402404369583006,0.6740074552731119,0.6761404822977496,0.7526497887974898,1.0
