,RiskParity,Momentum_k0.1,Momentum_k0.5,Momentum_k1.0,Momentum_k1.5,Momentum_k2.0
2018-12-07,-3.4070125999756036e-05,-2.9725403389563564e-05,-0.0035015957596594843,-0.003501595759659478,-0.00350159575965948,-0.0035015957596594718
2018-12-10,-0.011567107579710438,-0.011509601056663427,-0.011885552466082127,-0.011885552466082111,-0.011885552466082104,-0.011885552466082088
2018-12-11,0.004786592668935817,0.004770102805867406,0.0007729424741817254,0.0007729424741817251,0.0007729424741817228,0.0007729424741817234
2018-12-12,0.00341583202413267,0.0034162400979386035,0.015978026790676777,0.01597802679067675,0.01597802679067675,0.015978026790676725
2018-12-13,0.01548068427985349,0.015388261062674137,0.012827011179061045,0.01282701117906103,0.01282701117906102,0.012827011179061005
2018-12-14,-0.01670392488425315,-0.01666434701333043,-0.01616044239347725,-0.016160442393477227,-0.016160442393477217,-0.0161604423934772
2018-12-17,-0.0014890817047312867,-0.00151290069072877,-0.00029707172126676467,-0.0002970717212667581,-0.00029707172126675833,-0.00029707172126676023
2018-12-18,-0.010366359371637605,-0.010335612270713017,-0.010460562450815013,-0.010460562450814994,-0.010460562450814987,-0.010460562450814977
2018-12-19,-0.011923246398788315,-0.011848294520737632,0.0019169849941206196,0.001916984994120608,0.0019169849941206173,0.001916984994120613
2018-12-20,-0.007669892406503799,-0.0076909026651680425,-0.009354921233272553,-0.009354921233272537,-0.009354921233272528,-0.00935492123327252
2018-12-21,-0.012395380621394565,-0.012324717204770911,0.004965186767929204,0.00496518676792919,0.004965186767929202,0.004965186767929191
2018-12-27,-0.0038397316591525076,-0.003809903196987777,-0.00666610540801594,-0.006666105408015923,-0.00666610540801593,-0.006666105408015921
2018-12-28,0.006737288613092976,0.006672998409777208,0.000986909287438266,0.0009869092874382698,0.0009869092874382661,0.000986909287438264
2019-01-04,0.02395810555982022,0.023811287918063882,0.02227778230121783,0.022277782301217793,0.02227778230121779,0.022277782301217755
2019-01-07,0.006070376897381681,0.006061541048459469,0.008151963799124596,0.008151963799124586,0.008151963799124579,0.00815196379912457
2019-01-08,-0.0021607221025554215,-0.0021354308853398815,0.0015268670336144937,0.0015268670336144854,0.001526867033614486,0.0015268670336144859
2019-01-09,0.010096913955048662,0.010109058085347808,0.022566879291310377,0.022566879291310342,0.02256687929131034,0.022566879291310307
2019-01-10,-0.0018806384029183788,-0.0018616814082376802,0.0022115553552093806,0.002211555355209374,0.0022115553552093784,0.002211555355209374
2019-01-11,0.007189734689488445,0.0071226851062944525,0.005448807610511438,0.005448807610511434,0.0054488076105114296,0.00544880761051142
2019-01-15,0.01962520509507732,0.019512148673432667,0.020108817028079092,0.02010881702807906,0.020108817028079054,0.020108817028079026
2019-01-16,0.00021141369231785658,0.00021734394219596138,0.0026577324818607023,0.0026577324818606936,0.0026577324818606958,0.002657732481860694
2019-01-17,-0.005508730805669225,-0.00545773263450435,-0.005394199946084976,-0.0053941999460849705,-0.005394199946084968,-0.005394199946084959
2019-01-18,0.018241561207742493,0.018146962749335898,0.012489999423346134,0.012489999423346118,0.012489999423346108,0.012489999423346092
2019-01-22,-0.013284409984767447,-0.013214319596145918,-0.007018752525780967,-0.007018752525780958,-0.007018752525780951,-0.007018752525780944
2019-01-23,-0.0007202264130464178,-0.0007276270822300492,8.621005073172312e-05,8.62100507317238e-05,8.621005073172458e-05,8.6210050731723e-05
2019-01-24,0.00564412598933361,0.005590889528160865,0.004137215950889009,0.004137215950889003,0.004137215950889002,0.004137215950888994
2019-01-25,0.00813221755716768,0.008100321153978726,0.01641048278433449,0.016410482784334463,0.016410482784334463,0.016410482784334438
2019-01-28,-0.00021727323130952154,-0.00023520739060684762,0.00025891109912507443,0.000258911099125078,0.0002589110991250793,0.00025891109912507643
2019-01-29,0.0032012599372117315,0.0031723109684869866,-0.0016224672473033172,-0.0016224672473033157,-0.0016224672473033185,-0.001622467247303314
2019-01-30,-0.007979693483638636,-0.007874645384900616,0.00402276602677986,0.004022766026779843,0.00402276602677985,0.004022766026779845
2019-01-31,0.0014291497975711532,0.01038662962129769,0.010759350492391172,0.010759350492391129,0.010759350492391158,0.010759350492391156
2019-02-01,0.0161550888529885,0.014199906126920849,-0.00036670267197824914,-0.0003667026719782395,-0.00036670267197824594,-0.00036670267197824963
2019-02-12,0.016726209808378932,0.007226584746939017,0.0010487585883961494,0.0010487585883961611,0.0010487585883961494,0.0010487585883961492
2019-02-13,0.015812170579779784,0.019913430921448958,0.011553451685378179,0.011553451685378142,0.011553451685378165,0.011553451685378162
2019-02-14,0.015094339622640692,0.0014994527502919202,-0.0022673929667572862,-0.002267392966757272,-0.0022673929667572823,-0.0022673929667572836
2019-02-15,0.028345724907060672,-0.018457708203987216,-0.018495032058087703,-0.01849503205808761,-0.018495032058087675,-0.018495032058087675
2019-02-19,-0.0009022556390977088,-0.0017526349130004661,-0.004141210949446249,-0.004141210949446227,-0.004141210949446242,-0.004141210949446242
