trade_date,沪深300,中证1000
2017-03-08,-0.001512815809926904,-0.0040113442857571124
2017-03-09,-0.006317540598190341,-0.006322959706827613
2017-03-10,0.00027657296276628607,0.0002605571238514237
2017-03-13,0.008811947262276298,0.007114003624572041
2017-03-14,-0.00040617703720369214,-0.0019543949090482515
2017-03-15,0.002010649830846978,-0.0008953340458873749
2017-03-16,0.005157285813124801,0.010607730924935055
2017-03-17,-0.010254612184276812,-0.007053160545412385
2017-03-20,0.0011049667318676626,0.003600532932570788
2017-03-21,0.004851037475918307,0.000546935203934229
2017-03-22,-0.004701376100048504,-0.005446893723740409
2017-03-23,0.003457340997530922,-0.00018009876418390025
2017-03-24,0.007978530887340796,0.0013187932277791692
2017-03-27,-0.0033130447598330726,-0.001787826306432927
2017-03-28,-0.002366046264295263,-0.0033584139878762853
2017-03-29,-0.0013303324767732772,-0.008162457618959063
2017-03-30,-0.008205978004170777,-0.02040143388886695
2017-03-31,0.0056121204926271595,0.0028984688754492005
2017-04-05,0.013844638330137604,0.021928336020778705
2017-04-06,0.0028978337581750946,0.0025408560314024164
2017-04-07,0.0009722408656527293,0.00012687766359675834
2017-04-10,-0.003503718048637028,-0.011187013494957654
2017-04-11,0.003477408258137027,0.007726108243132579
2017-04-12,-0.0022429810356042745,-0.008226287780262687
2017-04-13,0.0014610598555262477,0.0030694210763761998
2017-04-14,-0.007984399326437575,-0.01471746068040869
2017-04-17,-0.0018823437629293949,-0.0149772487507146
2017-04-18,-0.004942266705215137,-0.010248293180762591
2017-04-19,-0.004870936274246729,-0.012647643450568902
2017-04-20,0.00454804512559237,-0.00570757268442279
2017-04-21,0.0015133113418241972,-0.00529076709262255
2017-04-24,-0.010248049598670206,-0.03110044944301038
2017-04-25,0.002831497374418346,0.003340302504786452
2017-04-26,0.0012231710071186619,0.0036179055114893277
2017-04-27,0.0004461301216145408,0.006085931398808864
2017-04-28,-0.002021399938410995,0.005508363704380681
2017-05-02,-0.0038306238849127316,0.00043170931781721933
2017-05-03,-0.003924733508073319,-0.0018903015572889759
2017-05-04,-0.002561228142558547,-0.0033276984153588485
2017-05-05,-0.006414136773663426,-0.013365857827445926
2017-05-08,-0.007017693336820341,-0.01882817117739055
2017-05-09,-0.0018697381887199382,0.006310683781561188
2017-05-10,-0.004424028832652027,-0.019885119242413096
2017-05-11,0.005676123086770568,-0.008672093856177177
2017-05-12,0.0085599735140367,-0.0021458604067976506
2017-05-15,0.004080784226591749,0.002754438917544899
2017-05-16,0.008665407917177514,0.021397178480333956
2017-05-17,-0.005449230718885811,0.0027383501703477364
2017-05-18,-0.0034759588190567126,-0.006769396246885995
2017-05-19,0.0016881429506443446,-0.001208254903469319
2017-05-22,0.002170924610878755,-0.01828421498795274
2017-05-23,0.0037978286304034548,-0.031813153500913516
2017-05-24,-7.914271212383639e-06,0.004749729355491006
2017-05-25,0.01795800315691376,0.00843378331971345
2017-05-26,-0.0014985979261707971,9.776524900417805e-05
2017-05-31,0.0035771395784061077,-0.002853813669217997
2017-06-01,0.0013895964782115744,-0.02722862650051039
2017-06-02,-0.003210874959137855,0.011134551752603583
2017-06-05,-0.0050920872848283505,0.009317157858293124
2017-06-06,0.00695575454216435,0.005179828027469302
2017-06-07,0.011735353411349347,0.020837422649405468
2017-06-08,0.007670566883609009,-0.0006961731463401843
2017-06-09,0.004266158746362603,0.0008224194264985218
2017-06-12,-0.0004979908255487997,-0.01385423036429323
2017-06-13,0.0022040128028579797,0.014663697099513762
2017-06-14,-0.013111444444376286,0.0013435919819297926
2017-06-15,-0.0018403254016413628,0.012567392839166969
2017-06-16,-0.002842757038200583,-0.0016678408510913956
2017-06-19,0.009919457163488632,0.006288780641533487
2017-06-20,-0.002018000963681099,0.0018746127295956594
2017-06-21,0.011690700731482817,5.2173560526558305e-05
2017-06-22,0.0006654208316436705,-0.01762088396403283
2017-06-23,0.009063369302510837,0.0006380391260034646
2017-06-26,0.01247868030850885,0.011581181540119445
2017-06-27,0.001805652688254611,0.0015996980365757807
2017-06-28,-0.007768928596153524,-0.006765383652512447
2017-06-29,0.0062151027328263275,0.004472801540390536
2017-06-30,-0.0005533647408209053,0.0012190961493157015
2017-07-03,-0.004350226356910847,0.009556117263470831
