,0
2022-05-09,1.3594969762933966
2022-05-10,1.3612010118593751
2022-05-11,1.3614760222263167
2022-05-12,1.361691084230906
2022-05-13,1.3618306753144058
2022-05-16,1.3621031479918646
2022-05-17,1.363341148260287
2022-05-18,1.3622552740576575
2022-05-19,1.3632900047555625
2022-05-20,1.363686683684305
2022-05-23,1.3638336939003424
2022-05-24,1.362588406286548
2022-05-25,1.36245317781838
2022-05-26,1.3622267068974891
2022-05-27,1.3620708994989696
2022-05-30,1.3621226375979218
2022-05-31,1.3628354494688772
2022-06-01,1.3638721303307968
2022-06-02,1.364347461621926
2022-06-06,1.3631389750513008
2022-06-07,1.3617800064770524
2022-06-08,1.3640777771708785
2022-06-09,1.364522409523669
2022-06-10,1.3658513776036243
2022-06-13,1.3655836837289397
2022-06-14,1.3657519888098675
2022-06-15,1.3659697869770304
2022-06-16,1.3663487258924172
2022-06-17,1.3673873214744876
2022-06-20,1.3669868654350184
2022-06-21,1.3683306267848896
2022-06-22,1.3660246752228655
2022-06-23,1.3673020147241715
2022-06-24,1.367694746773515
2022-06-27,1.3676093690799553
2022-06-28,1.368983462859191
2022-06-29,1.3676058030549796
2022-06-30,1.369610375859908
2022-07-01,1.3684448800942075
2022-07-04,1.3676316796798624
2022-07-05,1.3684042538791954
2022-07-06,1.3684364378339835
2022-07-07,1.367345086177245
2022-07-08,1.36746512359021
2022-07-11,1.366772582983882
2022-07-12,1.366455573424594
2022-07-13,1.3667788624317556
2022-07-14,1.3665071690974058
2022-07-15,1.365960292627052
2022-07-18,1.369171819563166
2022-07-19,1.368277262146934
2022-07-20,1.3701018724646057
2022-07-21,1.3709876676559702
2022-07-22,1.3704976382063356
2022-07-25,1.3701047811828064
2022-07-26,1.3723455003992093
2022-07-27,1.371050769534483
2022-07-28,1.371207589126089
2022-07-29,1.3726839320253124
2022-08-01,1.3756683259044842
2022-08-02,1.3755545670127611
2022-08-03,1.37487459224514
2022-08-04,1.376434380925488
2022-08-05,1.3774845978519052
2022-08-08,1.3792864277712513
2022-08-09,1.3781449510876356
2022-08-10,1.377440756923898
2022-08-11,1.3785781823654968
2022-08-12,1.3783632945814361
2022-08-15,1.380453549006222
2022-08-16,1.3814832092175133
2022-08-17,1.3816239292200416
2022-08-18,1.3822969508024197
2022-08-19,1.3822705052931012
2022-08-22,1.3826182625984287
2022-08-23,1.3817124894950046
2022-08-24,1.3811564688775173
2022-08-25,1.3805993672096497
2022-08-26,1.3816736969919965
2022-08-29,1.3806506753554333
2022-08-30,1.3806192216928341
2022-08-31,1.3820710592920007
2022-09-01,1.381708850765376
2022-09-02,1.3812497620090773
2022-09-05,1.3825340562249726
2022-09-06,1.3838057093980243
2022-09-07,1.3826018297412674
2022-09-08,1.3824175011586484
2022-09-09,1.383106036220321
2022-09-13,1.3841778232785542
2022-09-14,1.3833188011276227
2022-09-15,1.3834511219562464
2022-09-16,1.381931509946769
2022-09-19,1.381570867429712
2022-09-20,1.3805756047655409
2022-09-21,1.3798836848633314
2022-09-22,1.3775943318012294
2022-09-23,1.3768501303583178
2022-09-26,1.374662143305616
2022-09-27,1.3747341178491146
2022-09-28,1.3740227702811563
2022-09-29,1.3742101700020888
2022-09-30,1.37401875578103
2022-10-10,1.3753868367334996
2022-10-11,1.3760332002964684
2022-10-12,1.3759907574217987
2022-10-13,1.3757431586740723
2022-10-14,1.3788743927545501
2022-10-17,1.3783494094270818
2022-10-18,1.378429522786549
2022-10-19,1.3782696990406837
2022-10-20,1.3779445015485148
2022-10-21,1.376957032742726
2022-10-24,1.3755586457889462
2022-10-25,1.3746570540434486
2022-10-26,1.3742938225755608
2022-10-27,1.375812351202364
2022-10-28,1.3733731420354858
2022-10-31,1.3720335043168144
2022-11-01,1.373360966182539
2022-11-02,1.3739135247120688
2022-11-03,1.3739200501733277
2022-11-04,1.3738598113073608
2022-11-07,1.375103022719809
2022-11-08,1.3755998972442829
2022-11-09,1.3750035237075802
2022-11-10,1.3737765639624995
2022-11-11,1.3731473003891108
2022-11-14,1.3673208172922011
2022-11-15,1.3670494853928725
2022-11-16,1.3654998751033811
2022-11-17,1.3652103631518278
2022-11-18,1.36572838535219
2022-11-21,1.3655567701444697
2022-11-22,1.3650038086248792
2022-11-23,1.3670816305429958
2022-11-24,1.367402855920132
2022-11-25,1.366930914948366
2022-11-28,1.3646005058338195
2022-11-29,1.3641848281099493
2022-11-30,1.3654016787293497
2022-12-01,1.3684755648342715
2022-12-02,1.3690529653312544
2022-12-05,1.3697840169539992
2022-12-06,1.36884897882024
2022-12-07,1.3682562240961353
2022-12-08,1.3680970078576564
2022-12-09,1.3700826921637173
2022-12-12,1.3686375066054706
2022-12-13,1.3696658619774191
2022-12-14,1.371693631463144
2022-12-15,1.372118008978796
2022-12-16,1.3699532859960777
2022-12-19,1.3695832061913635
2022-12-20,1.368435561302417
2022-12-21,1.370123793662145
2022-12-22,1.371841126006826
2022-12-23,1.3746862943009515
2022-12-26,1.373855143639408
2022-12-27,1.3748276647498394
2022-12-28,1.374933656886975
2022-12-29,1.3757250602405406
2022-12-30,1.377458159615521
2023-01-03,1.3785040034010179
2023-01-04,1.3786371584469725
2023-01-05,1.3793015042295824
2023-01-06,1.3786495997172634
2023-01-09,1.3794101651658652
2023-01-10,1.3767097724465325
2023-01-11,1.3768489042687824
2023-01-12,1.376976633691182
2023-01-13,1.3768850134636996
2023-01-16,1.374823068325425
2023-01-17,1.3752714406187676
2023-01-18,1.3779720941103548
2023-01-19,1.3782196387168004
2023-01-20,1.37903610221551
2023-01-30,1.3794676620172666
2023-01-31,1.3790761865103573
2023-02-01,1.380290038516626
2023-02-02,1.3778892125116575
2023-02-03,1.3774700144151133
2023-02-06,1.3750467141374807
2023-02-07,1.3748109557159451
2023-02-08,1.3758399141493691
2023-02-09,1.3763156504340193
2023-02-10,1.3749018071016406
2023-02-13,1.3772649833270727
2023-02-14,1.3756153075336666
2023-02-15,1.377281309236697
2023-02-16,1.3779658702714412
2023-02-17,1.3749765536691045
2023-02-20,1.375826291079446
2023-02-21,1.3758106598956736
2023-02-22,1.376337183098572
2023-02-23,1.376060787991945
2023-02-24,1.3762851433114298
2023-02-27,1.374404016478189
2023-02-28,1.3758809792450206
2023-03-01,1.3793780429820501
2023-03-02,1.378041021641818
2023-03-03,1.3789304661800754
2023-03-06,1.3785942569232066
2023-03-07,1.3784487733342148
2023-03-08,1.378632486669783
2023-03-09,1.3800702708217283
2023-03-10,1.3794058384881258
2023-03-13,1.381911350069273
2023-03-14,1.3805916164029555
2023-03-15,1.3796104464928702
2023-03-16,1.3790423457368277
2023-03-17,1.3796007099847234
2023-03-20,1.3807644717487144
2023-03-21,1.3830917046440878
2023-03-22,1.3855492663303905
2023-03-23,1.3861759490473335
2023-03-24,1.3856111664453237
2023-03-27,1.3868190363010306
2023-03-28,1.3866806777590481
2023-03-29,1.385750166909725
2023-03-30,1.3863902895050035
2023-03-31,1.3872795593246725
2023-04-03,1.3879981985512064
2023-04-04,1.3873379998531978
2023-04-06,1.386898230130371
2023-04-07,1.3867518789274902
2023-04-10,1.386236428124303
2023-04-11,1.3845940905329646
2023-04-12,1.3859110126130532
2023-04-13,1.384823515325668
2023-04-14,1.3864919069231854
2023-04-17,1.3881934170609396
2023-04-18,1.389219596655472
2023-04-19,1.390922456780379
2023-04-20,1.3911516384236855
2023-04-21,1.3888383366730725
2023-04-24,1.387310989043313
2023-04-25,1.387527716593118
2023-04-26,1.3865934812496756
2023-04-27,1.3844422887643126
2023-04-28,1.384234738290035
2023-05-04,1.3849439729411777
2023-05-05,1.3851955080392482
2023-05-08,1.3878843463518145
2023-05-09,1.3872715296086342
2023-05-10,1.3867221029740244
2023-05-11,1.3858618703996173
2023-05-12,1.3826847389757315
2023-05-15,1.3838929831162459
2023-05-16,1.3837938531679839
2023-05-17,1.3835786083759865
2023-05-18,1.3843017788830505
2023-05-19,1.3838521638131478
2023-05-22,1.3838329171351307
2023-05-23,1.3836481389387454
2023-05-24,1.3819995701220278
2023-05-25,1.3805397038970728
2023-05-26,1.381908578338523
2023-05-29,1.379933921213297
2023-05-30,1.378817797430772
2023-05-31,1.3772396162079257
2023-06-01,1.379880809732668
2023-06-02,1.3826717160630122
2023-06-05,1.3823572631550491
2023-06-06,1.382420547455486
2023-06-07,1.381998241144643
2023-06-08,1.384692860447879
2023-06-09,1.3864426401248324
2023-06-12,1.3849087778566616
2023-06-13,1.387939259293971
2023-06-14,1.3892122646306326
2023-06-15,1.3884273244720948
2023-06-16,1.3882689733095885
2023-06-19,1.3863293266593892
2023-06-20,1.3872595916712591
2023-06-21,1.3861560260528467
2023-06-26,1.3847302981041016
2023-06-27,1.3856695374165942
2023-06-28,1.3861664362479191
2023-06-29,1.3870196538720736
2023-06-30,1.3888259607972915
2023-07-03,1.3897718383679218
2023-07-04,1.38890075319114
2023-07-05,1.3877777427526143
2023-07-06,1.3885373365068683
2023-07-07,1.388709221229635
2023-07-10,1.388604691908635
2023-07-11,1.390167445449063
2023-07-12,1.3901642798805096
2023-07-13,1.390745570125404
2023-07-14,1.390984147251743
2023-07-17,1.389024445420105
2023-07-18,1.3875965288079148
2023-07-19,1.3886298575921763
2023-07-20,1.389291716146705
2023-07-21,1.3897774975744
2023-07-24,1.389160621133061
2023-07-25,1.3893908417162535
2023-07-26,1.3885461952935612
2023-07-27,1.3881285043349156
2023-07-28,1.388356107926448
2023-07-31,1.3882229774573323
2023-08-01,1.3867861378075208
2023-08-02,1.3871937272257922
2023-08-03,1.386887136272617
2023-08-04,1.386829662004481
2023-08-07,1.3860293918828757
2023-08-08,1.3852264069573892
2023-08-09,1.384920696494231
2023-08-10,1.385293919998893
2023-08-11,1.383278489369947
2023-08-14,1.383823442266715
2023-08-15,1.3853022668614878
2023-08-16,1.3840897392331952
2023-08-17,1.384730841358752
2023-08-18,1.3854692469072039
2023-08-21,1.3863576053485351
2023-08-22,1.3872959835654357
2023-08-23,1.3876009522773747
2023-08-24,1.3884462354682365
2023-08-25,1.387710922186556
2023-08-28,1.3869516948305547
2023-08-29,1.3879069887443767
2023-08-30,1.3877912657394786
2023-08-31,1.3876807927038177
2023-09-01,1.387810239563999
2023-09-04,1.3872417108927488
2023-09-05,1.3866021224778362
2023-09-06,1.3859235139200612
2023-09-07,1.3829458127445577
2023-09-08,1.3813080040394528
2023-09-11,1.3803228063180466
2023-09-12,1.3812417647821198
2023-09-13,1.3814690990210157
2023-09-14,1.3814503492279548
2023-09-15,1.3823431231800365
2023-09-18,1.3826305882176948
2023-09-19,1.3822095854924035
2023-09-20,1.3831989463168468
2023-09-21,1.3818987846211799
2023-09-22,1.3843712715286556
2023-09-25,1.3826409183367177
2023-09-26,1.381034562297397
2023-09-27,1.3808114351610237
2023-09-28,1.38178864362389
2023-10-09,1.3839273268068335
2023-10-10,1.3821933876357213
2023-10-11,1.3829043066612012
2023-10-12,1.3835344599749764
2023-10-13,1.38283578791058
2023-10-16,1.3831953797995877
2023-10-17,1.3816019507160018
2023-10-18,1.3803749977803725
2023-10-19,1.3782346210619145
2023-10-20,1.378281819784042
2023-10-23,1.3776568332001147
2023-10-24,1.3761495608893808
2023-10-25,1.3768395880390427
2023-10-26,1.3768389899019664
2023-10-27,1.3778367054705154
2023-10-30,1.3782891285145533
2023-10-31,1.3788003884775615
2023-11-01,1.3798769883220583
2023-11-02,1.3800860232554735
2023-11-03,1.3798230816682826
2023-11-06,1.380716687647413
2023-11-07,1.3794149402204303
2023-11-08,1.3794820085418569
2023-11-09,1.3806798033044045
2023-11-10,1.3805864568790711
2023-11-13,1.3808489744779324
2023-11-14,1.3815378838809516
2023-11-15,1.381921602554588
2023-11-16,1.382602096983552
2023-11-17,1.382178784980659
2023-11-20,1.3831179920512149
2023-11-21,1.3827893723592393
2023-11-22,1.3823385405924886
2023-11-23,1.3815840232246912
2023-11-24,1.382292309201101
2023-11-27,1.3800454869244696
2023-11-28,1.3779594302372655
2023-11-29,1.3774110604205503
2023-11-30,1.3778125139534407
2023-12-01,1.3758777985915542
2023-12-04,1.3760221321709245
2023-12-05,1.3735857592540084
2023-12-06,1.3745666525873308
2023-12-07,1.375537182610449
2023-12-08,1.3779408469746444
2023-12-11,1.3788835960273325
2023-12-12,1.3797574198764513
2023-12-13,1.3780716457831548
2023-12-14,1.3785831098283443
2023-12-15,1.3797242661395621
2023-12-18,1.3797370273889407
2023-12-19,1.37989670945624
2023-12-20,1.3801131762182086
2023-12-21,1.381719473522683
2023-12-22,1.382165654307799
2023-12-25,1.382991082657829
2023-12-26,1.3839534072066948
2023-12-27,1.3846757986142981
2023-12-28,1.3874054483687592
2023-12-29,1.3877237876162454
2024-01-02,1.3870896651937976
2024-01-03,1.386004584680671
2024-01-04,1.3868884812880595
2024-01-05,1.388440110216152
2024-01-08,1.3882654536947876
