trade_date,code,close,open,high,low,volume,sec_name
2021-02-19,801170.SI,2456.66,2412.29,2456.8,2398.5,2494220000.0,交通运输(申万)
2021-02-19,801230.SI,2417.78,2352.99,2419.96,2352.76,435980000.0,综合(申万)
2021-02-19,801020.SI,2583.56,2501.63,2589.56,2501.63,2974340000.0,采掘(申万)(退市)
2021-02-19,801790.SI,2183.94,2128.95,2184.24,2122.76,3315900000.0,非银金融(申万)
2021-02-19,801880.SI,6140.95,6096.99,6143.1,5996.37,2629510000.0,汽车(申万)
2021-02-19,801120.SI,32337.9,31914.9,32462.5,31081.3,1341950000.0,食品饮料(申万)
2021-02-19,801730.SI,9372.49,9425.98,9453.62,9138.82,3539270000.0,电力设备(申万)
2021-02-19,801200.SI,3131.79,3043.76,3131.97,3034.04,1183020000.0,商贸零售(申万)
2021-02-19,801030.SI,4332.56,4336.95,4383.41,4197.36,7479060000.0,基础化工(申万)
2021-02-19,801180.SI,3766.07,3692.39,3766.07,3688.27,2472160000.0,房地产(申万)
2021-02-19,801750.SI,5023.75,4965.04,5028.27,4926.64,2806170000.0,计算机(申万)
2021-02-19,801010.SI,4556.68,4327.89,4576.73,4327.87,2540230000.0,农林牧渔(申万)
2021-02-19,801140.SI,2879.31,2849.36,2880.99,2830.95,2041560000.0,轻工制造(申万)
2021-02-19,801710.SI,8606.67,8463.33,8606.67,8363.56,1214850000.0,建筑材料(申万)
2021-02-19,801050.SI,4850.69,4781.06,4878.37,4669.98,8320380000.0,有色金属(申万)
2021-02-19,801160.SI,1933.07,1894.62,1933.07,1890.41,2850220000.0,公用事业(申万)
2021-02-19,801770.SI,2018.28,1970.26,2018.28,1964.56,1051460000.0,通信(申万)
2021-02-19,801780.SI,4227.14,4234.24,4285.06,4208.3,3449820000.0,银行(申万)
2021-02-19,801890.SI,1648.04,1648.43,1651.84,1610.67,3683260000.0,机械设备(申万)
2021-02-22,801130.SI,1734.07,1723.53,1758.57,1723.53,1132490000.0,纺织服饰(申万)
2021-02-22,801720.SI,1975.98,1964.23,2013.57,1962.18,3255680000.0,建筑装饰(申万)
2021-02-22,801150.SI,12573.8,13004.0,13004.1,12573.8,3611090000.0,医药生物(申万)
2021-02-22,801110.SI,9667.11,10191.6,10191.6,9667.11,1105170000.0,家用电器(申万)
2021-02-22,801080.SI,4784.3,4883.02,4898.05,4784.3,6130700000.0,电子(申万)
2021-02-22,801760.SI,732.77,746.02,746.99,732.15,4041320000.0,传媒(申万)
2021-02-22,801740.SI,1554.08,1598.53,1610.39,1554.08,1275050000.0,国防军工(申万)
2021-02-22,801210.SI,14254.2,15506.2,15506.2,14254.2,451404000.0,社会服务(申万)
2021-02-22,801040.SI,2555.21,2428.26,2584.29,2428.26,4536840000.0,钢铁(申万)
2021-02-22,801170.SI,2440.61,2457.22,2477.94,2440.56,3073500000.0,交通运输(申万)
2021-02-22,801230.SI,2419.58,2425.18,2480.57,2419.55,642406000.0,综合(申万)
2021-02-22,801020.SI,2661.96,2602.48,2747.26,2602.48,4442940000.0,采掘(申万)(退市)
2021-02-22,801790.SI,2139.13,2188.01,2200.02,2139.13,4416450000.0,非银金融(申万)
2021-02-22,801880.SI,5949.17,6162.32,6162.32,5949.17,3148640000.0,汽车(申万)
2021-02-22,801120.SI,30219.1,32201.6,32201.6,30179.8,1484580000.0,食品饮料(申万)
2021-02-22,801730.SI,9086.77,9343.15,9498.27,9086.77,4399690000.0,电力设备(申万)
2021-02-22,801200.SI,3152.61,3137.79,3194.55,3134.37,1730250000.0,商贸零售(申万)
2021-02-22,801030.SI,4365.24,4377.46,4455.48,4365.24,10180500000.0,基础化工(申万)
2021-02-22,801180.SI,3786.46,3760.08,3838.83,3760.08,2950350000.0,房地产(申万)
2021-02-22,801750.SI,4962.43,5036.91,5088.93,4962.43,3249440000.0,计算机(申万)
2021-02-22,801010.SI,4571.12,4619.09,4664.81,4546.46,3606250000.0,农林牧渔(申万)
2021-02-22,801140.SI,2852.71,2882.22,2919.97,2852.71,2346330000.0,轻工制造(申万)
2021-02-22,801710.SI,8500.83,8635.9,8716.24,8496.49,1509740000.0,建筑材料(申万)
2021-02-22,801050.SI,5078.44,5006.51,5249.55,5006.51,10663600000.0,有色金属(申万)
2021-02-22,801160.SI,1948.04,1937.24,1976.37,1937.23,3797010000.0,公用事业(申万)
2021-02-22,801770.SI,2010.05,2024.8,2048.92,2010.05,1460700000.0,通信(申万)
2021-02-22,801780.SI,4156.67,4219.42,4219.42,4144.4,4598290000.0,银行(申万)
2021-02-22,801890.SI,1628.46,1650.59,1666.28,1628.46,4730580000.0,机械设备(申万)
2021-02-23,801130.SI,1735.51,1726.24,1740.42,1717.41,754799000.0,纺织服饰(申万)
2021-02-23,801720.SI,1953.58,1973.12,1983.2,1949.46,2342090000.0,建筑装饰(申万)
2021-02-23,801150.SI,12554.8,12448.3,12721.0,12448.2,2873620000.0,医药生物(申万)
2021-02-23,801110.SI,9651.64,9574.2,9740.18,9574.2,796258000.0,家用电器(申万)
2021-02-23,801080.SI,4772.45,4734.47,4822.6,4732.99,4846800000.0,电子(申万)
2021-02-23,801760.SI,718.99,728.09,730.69,717.58,2753160000.0,传媒(申万)
2021-02-23,801740.SI,1596.84,1539.12,1609.87,1531.79,1348620000.0,国防军工(申万)
2021-02-23,801210.SI,14083.0,13946.3,14361.5,13946.3,372005000.0,社会服务(申万)
2021-02-23,801040.SI,2528.38,2556.2,2570.61,2503.24,4210450000.0,钢铁(申万)
2021-02-23,801170.SI,2450.15,2433.55,2466.36,2431.76,2233150000.0,交通运输(申万)
2021-02-23,801230.SI,2434.97,2416.47,2460.22,2409.21,539007000.0,综合(申万)
2021-02-23,801020.SI,2611.37,2639.65,2653.1,2601.36,3260360000.0,采掘(申万)(退市)
2021-02-23,801790.SI,2149.43,2130.05,2172.21,2130.05,2757820000.0,非银金融(申万)
2021-02-23,801880.SI,5832.43,5860.82,5904.36,5807.66,2403920000.0,汽车(申万)
2021-02-23,801120.SI,30190.4,29774.2,30652.8,29774.2,1065760000.0,食品饮料(申万)
2021-02-23,801730.SI,9053.6,8973.47,9139.91,8954.24,3493680000.0,电力设备(申万)
2021-02-23,801200.SI,3121.3,3136.63,3145.14,3110.52,1203410000.0,商贸零售(申万)
2021-02-23,801030.SI,4305.42,4341.36,4367.25,4283.09,8779840000.0,基础化工(申万)
2021-02-23,801180.SI,3763.02,3769.29,3790.19,3745.54,2221560000.0,房地产(申万)
2021-02-23,801750.SI,4919.44,4931.23,4970.3,4906.19,2352980000.0,计算机(申万)
2021-02-23,801010.SI,4421.2,4492.22,4538.94,4410.86,2391100000.0,农林牧渔(申万)
2021-02-23,801140.SI,2839.57,2840.79,2879.29,2829.36,2380610000.0,轻工制造(申万)
2021-02-23,801710.SI,8376.58,8462.3,8481.97,8356.09,1077090000.0,建筑材料(申万)
2021-02-23,801050.SI,4995.69,4984.85,5107.69,4954.36,10305000000.0,有色金属(申万)
2021-02-23,801160.SI,1948.06,1950.86,1964.97,1940.82,3352150000.0,公用事业(申万)
2021-02-23,801770.SI,1998.27,2002.62,2022.95,1987.26,1084400000.0,通信(申万)
2021-02-23,801780.SI,4196.52,4152.71,4267.02,4152.71,4302020000.0,银行(申万)
2021-02-23,801890.SI,1627.03,1619.18,1644.19,1617.98,3876890000.0,机械设备(申万)
2021-02-24,801130.SI,1722.44,1730.69,1738.34,1709.45,648315000.0,纺织服饰(申万)
2021-02-24,801720.SI,1944.41,1952.88,1967.74,1930.27,2176020000.0,建筑装饰(申万)
2021-02-24,801150.SI,12154.1,12553.0,12555.2,12051.3,2861590000.0,医药生物(申万)
